,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,thousand nineteen seven,16,1.png,two hundred sixty,thousand thousand seven,16,0
1,one hundred,2.png,thousand nineteen,12,3.png,one thousand,thousand nineteen,12,0
2,sixty seven,4.png,thousand thousand,15,5.png,six hundred seventy,thousand thousand fourteen,21,1
3,one thousand two,6.png,thousand nineteen seven,17,7.png,one thousand twenty,thousand nineteen seven,17,0
4,twenty one,8.png,thousand thousand,13,9.png,two hundred one,thousand nineteen forty,18,1
5,one hundred five,10.png,thousand thousand seven,15,11.png,one hundred twenty five,thousand thousand seven seven,18,1
6,three hundred five,12.png,thousand nineteen seven,15,13.png,three hundred fifty,thousand nineteen seven,15,0
7,forty two,14.png,thousand fifteen,13,15.png,four hundred two,thousand thirteen seven,19,1
8,five,16.png,thousand,8,17.png,fifteen,thousand,8,0
9,eleven,18.png,thousand,7,19.png,twenty four,thousand fifteen,14,1
10,two,20.png,thousand,6,21.png,eight,thousand,6,0
11,twenty five,22.png,thousand thousand,14,23.png,four hundred five,thousand thousand seven,17,1
12,sixty two,24.png,thousand thousand,14,25.png,six hundred two,thousand nineteen seven,19,1
13,twenty one,26.png,thousand thousand,13,27.png,two hundred ten,thousand thousand fourteen,20,1
14,twenty four,28.png,thousand fifteen,13,29.png,two hundred four,thousand fifteen fifteen,19,1
15,seventeen,30.png,thousand,9,31.png,twenty one,thousand thousand,14,1
16,thirty five,32.png,thousand nineteen,12,33.png,three hundred five,thousand nineteen seven,16,1
17,forty seven,34.png,thousand fifteen,12,35.png,four hundred seventy,thousand fifteen fifteen,19,1
18,nineteen,36.png,thousand,8,37.png,one hundred nine,thousand thousand hundred,22,1
19,sixteen,38.png,thousand,7,39.png,one hundred six,thousand hundred hundred,21,1
20,fifty three,40.png,thousand thousand,14,41.png,eighty,thousand,10,0
21,two hundred sixteen,42.png,thousand thousand fourteen,16,43.png,two hundred sixty one,thousand thousand fifteen fifteen,19,1
22,four hundred twelve,44.png,thousand fifteen fifteen,18,45.png,four hundred twenty one,thousand fifteen fifteen fifteen,24,1
23,six,46.png,thousand,7,47.png,thirteen,thousand,7,0
