,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,<end> fifty fifty,15,1.png,two hundred sixty,<end> fifty fifty,15,0
1,one hundred,2.png,<end> <end>,9,3.png,one thousand,<end> <end>,9,0
2,sixty seven,4.png,<end> fifty,10,5.png,six hundred seventy,<end> fifty fifty,13,1
3,one thousand two,6.png,<end> <end> fifty,15,7.png,one thousand twenty,<end> <end> <end>,15,0
4,twenty one,8.png,<pad> <pad>,11,9.png,two hundred one,<end> fifty fifty,13,1
5,one hundred five,10.png,<end> <end> <end>,14,11.png,one hundred twenty five,<end> fifty fifty fifty,18,1
6,three hundred five,12.png,<end> <end> fifty,13,13.png,three hundred fifty,<end> fifty fifty,15,1
7,forty two,14.png,<end> forty,10,15.png,four hundred two,<end> fifty fifty,13,1
8,five,16.png,<end>,5,17.png,fifteen,<end>,5,0
9,eleven,18.png,<pad>,6,19.png,twenty four,<end> <end>,8,1
10,two,20.png,<end>,5,21.png,eight,<end>,5,0
11,twenty five,22.png,<end> fifty,7,23.png,four hundred five,<end> <end> fifty,12,1
12,sixty two,24.png,<end> fifty,10,25.png,six hundred two,<end> fifty fifty,13,1
13,twenty one,26.png,<pad> <pad>,11,27.png,two hundred ten,<pad> fifty fifty,14,1
14,twenty four,28.png,<end> <end>,9,29.png,two hundred four,<end> <end> fifty,13,1
15,seventeen,30.png,<end>,7,31.png,twenty one,<pad> <pad>,11,1
16,thirty five,32.png,<end> <end>,11,33.png,three hundred five,<end> <end> fifty,14,1
17,forty seven,34.png,<end> forty,10,35.png,four hundred seventy,<pad> <pad> fifty,16,1
18,nineteen,36.png,<end>,7,37.png,one hundred nine,<end> <end> fifty,14,1
19,sixteen,38.png,<end>,7,39.png,one hundred six,<end> <end> fifty,15,1
20,fifty three,40.png,<end> <end>,10,41.png,eighty,<end>,11,1
21,two hundred sixteen,42.png,<pad> fifty fifty,16,43.png,two hundred sixty one,<end> <end> fifty fifty,19,1
22,four hundred twelve,44.png,<pad> forty fifty,17,45.png,four hundred twenty one,<pad> <pad> fifty fifty,20,1
23,six,46.png,<end>,5,47.png,thirteen,<end>,5,0
