,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,<pad> eighty,8,1.png,eight hundred seven,eighty eighty eighty,11,1
1,sixty four,2.png,<pad> <end>,10,3.png,six hundred four,eighty eighty eighty,16,1
2,eighty five,4.png,eighty eighty,5,5.png,eight hundred fifty,eighty eighty eighty,11,1
3,thirty six,6.png,<pad> <end>,11,7.png,three hundred six,<pad> <end> <end>,16,1
4,twelve,8.png,<pad>,6,9.png,twenty two,<pad> <end>,10,1
5,four hundred,10.png,eighty eighty,13,11.png,four thousand,<pad> seventy,12,0
6,seventy six,12.png,<pad> <end>,11,13.png,seven hundred sixty,<pad> <end> <end>,14,1
7,thirty one,14.png,<pad> <end>,10,15.png,three hundred one,eighty <end> <end>,13,1
8,eighty nine,16.png,eighty eighty,5,17.png,eight hundred nine,eighty eighty eighty,11,1
9,three hundred seven,18.png,<pad> <end> <end>,14,19.png,three hundred sixty seven,<pad> <end> <end> <end>,16,1
10,thirteen,20.png,<pad>,8,21.png,forty two,<pad> nineteen,9,1
11,five hundred eight,22.png,eighty eighty eighty,13,23.png,five hundred eighty,eighty eighty eighty,13,0
12,two thousand three,24.png,<pad> eighty seventy,18,25.png,two thousand thirty,<pad> seventy seventy,18,0
13,three hundred six,26.png,<pad> <end> <end>,14,27.png,three hundred sixty,eighty <end> <end>,15,1
14,seven,28.png,twelve,4,29.png,eighteen,eighty,6,1
15,five,30.png,<unk>,5,31.png,eight,eighty,5,0
16,five hundred,32.png,eighty eighty,12,33.png,five thousand,eighty seventy,12,0
17,thirty six,34.png,<pad> <end>,11,35.png,five hundred nine,<pad> eighty <end>,14,1
18,forty two,36.png,<pad> nineteen,12,37.png,four hundred twenty,<pad> <end> <end>,16,1
19,twenty seven,38.png,<pad> forty,11,39.png,two hundred seven,<pad> <end> <end>,13,1
20,six hundred eight,40.png,eighty eighty eighty,13,41.png,six hundred fifty eight,eighty eighty eighty eighty,18,1
21,seventeen,42.png,nineteen,4,43.png,twenty eight,eighty eighty,11,1
22,five hundred sixty seven,44.png,<pad> <end> <end> <end>,19,45.png,five hundred seventy six,<pad> <pad> <end> <end>,20,1
23,one,46.png,eighty,6,47.png,nine,eighty,6,0
