,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,thirty twenty twenty,17,1.png,two hundred sixty,thirty twenty twenty,17,0
1,one hundred,2.png,nineteen nineteen,12,3.png,one thousand,sixteen sixteen,12,0
2,sixty seven,4.png,<unk> eighteen,11,5.png,six hundred seventy,nineteen nineteen nineteen,20,1
3,one thousand two,6.png,sixteen sixteen twenty,17,7.png,one thousand twenty,sixteen sixteen sixteen,19,1
4,twenty one,8.png,five eighteen,11,9.png,two hundred one,five nineteen twenty,15,1
5,one hundred five,10.png,eight eighteen eighteen,18,11.png,one hundred twenty five,eight eighteen eighteen eighteen,25,1
6,three hundred five,12.png,thirty twenty twenty,15,13.png,three hundred fifty,thirty twenty twenty,15,0
7,forty two,14.png,eight eighteen,12,15.png,four hundred two,eight sixteen twenty,16,1
8,five,16.png,eighteen,6,17.png,fifteen,eight,4,0
9,eleven,18.png,five,4,19.png,twenty four,eight eight,9,1
10,two,20.png,eighteen,7,21.png,eight,<unk>,5,0
11,twenty five,22.png,eighteen eighteen,13,23.png,four hundred five,eight twenty twenty,12,0
12,sixty two,24.png,eighteen eighteen,13,25.png,six hundred two,thirty twenty twenty,14,1
13,twenty one,26.png,five eighteen,11,27.png,two hundred ten,five nineteen nineteen,16,1
14,twenty four,28.png,eight eight,10,29.png,two hundred four,eight sixteen sixteen,18,1
15,seventeen,30.png,five,7,31.png,twenty one,five eighteen,7,0
16,thirty five,32.png,thirty eighteen,6,33.png,three hundred five,thirty twenty twenty,12,1
17,forty seven,34.png,eight eight,10,35.png,four hundred seventy,eight eight eight,15,1
18,nineteen,36.png,eight,6,37.png,one hundred nine,nineteen eighteen eighteen,18,1
19,sixteen,38.png,five,5,39.png,one hundred six,nineteen nineteen twenty,19,1
20,fifty three,40.png,eighteen eighteen,11,41.png,eighty,thirty,9,0
21,two hundred sixteen,42.png,five nineteen nineteen,13,43.png,two hundred sixty one,five nineteen nineteen twenty,20,1
22,four hundred twelve,44.png,eight eight eight,17,45.png,four hundred twenty one,eight eight eight sixteen,21,1
23,six,46.png,eighteen,7,47.png,thirteen,eight,4,0
