,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,<end> <end>,10,1.png,eight hundred seven,<end> <end> fifty,12,1
1,sixty four,2.png,<end> <end>,10,3.png,six hundred four,<end> <end> <end>,16,1
2,eighty five,4.png,<end> <end>,11,5.png,eight hundred fifty,eight <end> fifty,9,0
3,thirty six,6.png,<end> <end>,11,7.png,three hundred six,<end> <end> <end>,16,1
4,twelve,8.png,<end>,5,9.png,twenty two,<end> <end>,10,1
5,four hundred,10.png,<end> <end>,10,11.png,four thousand,<end> hundred,5,0
6,seventy six,12.png,<end> <end>,10,13.png,seven hundred sixty,eight <end> fifty,13,1
7,thirty one,14.png,<end> <end>,10,15.png,three hundred one,<end> <end> <end>,15,1
8,eighty nine,16.png,<end> <end>,10,17.png,eight hundred nine,<end> <end> fifty,14,1
9,three hundred seven,18.png,<end> <end> fifty,15,19.png,three hundred sixty seven,<end> <end> <end> <end>,16,1
10,thirteen,20.png,<end>,8,21.png,forty two,<end> <end>,9,1
11,five hundred eight,22.png,eight <end> fifty,13,23.png,five hundred eighty,eight eight fifty,15,1
12,two thousand three,24.png,<end> <end> <end>,16,25.png,two thousand thirty,eight <end> hundred,15,0
13,three hundred six,26.png,<end> <end> <end>,14,27.png,three hundred sixty,eight <end> <end>,14,0
14,seven,28.png,<end>,4,29.png,eighteen,<end>,4,0
15,five,30.png,<pad>,5,31.png,eight,<end>,5,0
16,five hundred,32.png,eight eight,11,33.png,five thousand,eight eight,11,0
17,thirty six,34.png,<end> <end>,11,35.png,five hundred nine,eight <end> fifty,14,1
18,forty two,36.png,<end> <end>,10,37.png,four hundred twenty,<end> <end> <end>,16,1
19,twenty seven,38.png,<end> <end>,8,39.png,two hundred seven,<end> <end> <end>,12,1
20,six hundred eight,40.png,eight <end> fifty,13,41.png,six hundred fifty eight,eight <end> fifty fifty,17,1
21,seventeen,42.png,<end>,7,43.png,twenty eight,<end> <end>,8,1
22,five hundred sixty seven,44.png,<end> <end> fifty fifty,17,45.png,five hundred seventy six,eight <end> fifty fifty,16,0
23,one,46.png,<end>,4,47.png,nine,<end>,4,0
