,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,two six,11,1.png,eight hundred seven,six six six,10,0
1,sixty four,2.png,two six,9,3.png,six hundred four,six six twelve,10,1
2,eighty five,4.png,two two,10,5.png,eight hundred fifty,six six twelve,10,0
3,thirty six,6.png,two six,5,7.png,three hundred six,six fifteen fifteen,15,1
4,twelve,8.png,six,6,9.png,twenty two,two six,5,0
5,four hundred,10.png,six six,11,11.png,four thousand,six six,11,0
6,seventy six,12.png,two six,7,13.png,seven hundred sixty,two six six,7,0
7,thirty one,14.png,two two,7,15.png,three hundred one,two six fifteen,12,1
8,eighty nine,16.png,two six,9,17.png,eight hundred nine,six six twelve,11,1
9,three hundred seven,18.png,six six fifteen,15,19.png,three hundred sixty seven,<unk> six fifteen fifteen,20,1
10,thirteen,20.png,two,7,21.png,forty two,one six,8,1
11,five hundred eight,22.png,two fifteen fifteen,16,23.png,five hundred eighty,two fifteen twelve,16,0
12,two thousand three,24.png,six six fifteen,15,25.png,two thousand thirty,six fifteen fifteen,15,0
13,three hundred six,26.png,six fifteen fifteen,17,27.png,three hundred sixty,six fifteen fifteen,17,0
14,seven,28.png,<unk>,5,29.png,eighteen,two,5,0
15,five,30.png,two,4,31.png,eight,two,4,0
16,five hundred,32.png,six six,10,33.png,five thousand,six fifteen,9,0
17,thirty six,34.png,two six,5,35.png,five hundred nine,two twelve twelve,14,1
18,forty two,36.png,one six,7,37.png,four hundred twenty,six six six,10,1
19,twenty seven,38.png,two six,8,39.png,two hundred seven,six six six,11,1
20,six hundred eight,40.png,six six fifteen,12,41.png,six hundred fifty eight,two six fifteen twelve,16,1
21,seventeen,42.png,<unk>,8,43.png,twenty eight,two six,9,1
22,five hundred sixty seven,44.png,two six twelve twelve,20,45.png,five hundred seventy six,two six six ten,16,0
23,one,46.png,<unk>,4,47.png,nine,two,3,0
