,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,four two two,12,1.png,two hundred sixty,four four four,14,1
1,one hundred,2.png,four four,9,3.png,one thousand,four two,10,1
2,sixty seven,4.png,twenty two,9,5.png,six hundred seventy,twenty two two,11,1
3,one thousand two,6.png,four two two,9,7.png,one thousand twenty,four four two,9,0
4,twenty one,8.png,twenty <start>,7,9.png,two hundred one,four four two,12,1
5,one hundred five,10.png,four four <start>,15,11.png,one hundred twenty five,four <start> <start> <start>,24,1
6,three hundred five,12.png,four two two,16,13.png,three hundred fifty,four two two,16,0
7,forty two,14.png,twenty <start>,10,15.png,four hundred two,two two <start>,11,1
8,five,16.png,twenty,6,17.png,fifteen,twenty,6,0
9,eleven,18.png,thousand,7,19.png,twenty four,twenty <start>,13,1
10,two,20.png,twenty,4,21.png,eight,eleven,6,1
11,twenty five,22.png,twenty <start>,7,23.png,four hundred five,two two <start>,11,1
12,sixty two,24.png,twenty <start>,10,25.png,six hundred two,four two two,7,0
13,twenty one,26.png,twenty <start>,7,27.png,two hundred ten,four two <start>,14,1
14,twenty four,28.png,twenty <start>,6,29.png,two hundred four,twenty two <start>,9,1
15,seventeen,30.png,twenty,6,31.png,twenty one,twenty <start>,12,1
16,thirty five,32.png,four <start>,11,33.png,three hundred five,four two two,10,0
17,forty seven,34.png,twenty <start>,10,35.png,four hundred seventy,twenty <start> <start>,18,1
18,nineteen,36.png,twenty,7,37.png,one hundred nine,four four two,13,1
19,sixteen,38.png,twenty,6,39.png,one hundred six,four four two,13,1
20,fifty three,40.png,four <start>,9,41.png,eighty,four,9,0
21,two hundred sixteen,42.png,two two <start>,14,43.png,two hundred sixty one,four two two <start>,18,1
22,four hundred twelve,44.png,twenty <start> <start>,19,45.png,four hundred twenty one,twenty <start> <start> <start>,26,1
23,six,46.png,four,4,47.png,thirteen,twenty,6,1
