,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,fifty fifty thirty,16,1.png,two hundred sixty,eighty thirty thirty,17,1
1,one hundred,2.png,ten thirty,9,3.png,one thousand,ten thirty,9,0
2,sixty seven,4.png,eighty thirty,9,5.png,six hundred seventy,fifty thirty thirty,15,1
3,one thousand two,6.png,thirty thirty thirty,17,7.png,one thousand twenty,ten thirty thirty,14,0
4,twenty one,8.png,eighty thirty,10,9.png,two hundred one,ten thirty thirty,12,1
5,one hundred five,10.png,ten thirty thirty,14,11.png,one hundred twenty five,seventy thirty thirty thirty,22,1
6,three hundred five,12.png,forty thirty thirty,15,13.png,three hundred fifty,fifty thirty thirty,16,1
7,forty two,14.png,eighty seven,9,15.png,four hundred two,seven thirty thirty,14,1
8,five,16.png,forty,4,17.png,fifteen,seventy,5,1
9,eleven,18.png,hundred,6,19.png,twenty four,eighty seven,7,1
10,two,20.png,eighty,6,21.png,eight,forty,5,0
11,twenty five,22.png,seventy thirty,8,23.png,four hundred five,fifty thirty thirty,14,1
12,sixty two,24.png,eighty fifty,8,25.png,six hundred two,ten thirty thirty,12,1
13,twenty one,26.png,eighty thirty,10,27.png,two hundred ten,ten ten thirty,10,0
14,twenty four,28.png,eighty seven,9,29.png,two hundred four,fifty thirty thirty,14,1
15,seventeen,30.png,seventy,3,31.png,twenty one,eighty thirty,12,1
16,thirty five,32.png,forty forty,7,33.png,three hundred five,forty thirty thirty,11,1
17,forty seven,34.png,eighty seven,4,35.png,four hundred seventy,eighty seven two,8,1
18,nineteen,36.png,forty,7,37.png,one hundred nine,ten fifty thirty,13,1
19,sixteen,38.png,seventy,6,39.png,one hundred six,ten thirty thirty,15,1
20,fifty three,40.png,seventy thirty,8,41.png,eighty,eighty,9,1
21,two hundred sixteen,42.png,ten thirty thirty,14,43.png,two hundred sixty one,eighty thirty thirty thirty,23,1
22,four hundred twelve,44.png,eighty seven two,15,45.png,four hundred twenty one,seven seven two two,16,1
23,six,46.png,eighty,5,47.png,thirteen,seventy,6,1
