,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred six,0.png,one <unk> <unk>,1.png,two hundred sixty,one <unk> <unk>,True,0,0,0,0
1,one hundred,2.png,one <unk>,3.png,one thousand,seventy <unk>,True,0,0,0,0
2,sixty seven,4.png,fifteen <unk>,5.png,six hundred seventy,fifteen <unk> <unk>,True,0,0,0,0
3,one thousand two,6.png,one <unk> <unk>,7.png,one thousand twenty,one one <unk>,True,0,0,0,0
4,twenty one,8.png,fifteen <unk>,9.png,two hundred one,one <unk> <unk>,False,0,0,0,0
5,one hundred five,10.png,one <unk> <unk>,11.png,one hundred twenty five,fifteen <unk> <unk> <unk>,True,0,0,0,0
6,three hundred five,12.png,one <unk> <unk>,13.png,three hundred fifty,one <unk> <unk>,True,0,0,0,0
7,forty two,14.png,<unk> <unk>,15.png,four hundred two,one <unk> <unk>,False,0,0,0,0
8,five,16.png,fifteen,17.png,fifteen,fifteen,True,0,0,0,0
9,eleven,18.png,<unk>,19.png,twenty four,<unk> <unk>,True,0,0,0,0
10,two,20.png,<unk>,21.png,eight,<unk>,True,0,0,0,0
11,twenty five,22.png,fifteen <unk>,23.png,four hundred five,one <unk> <unk>,False,0,0,0,0
12,sixty two,24.png,fifteen <unk>,25.png,six hundred two,two <unk> <unk>,False,0,0,0,0
13,twenty one,26.png,fifteen <unk>,27.png,two hundred ten,one <unk> <unk>,False,0,0,0,0
14,twenty four,28.png,<unk> <unk>,29.png,two hundred four,one <unk> <unk>,False,0,0,0,0
15,seventeen,30.png,fifteen,31.png,twenty one,fifteen <unk>,False,0,0,0,0
16,thirty five,32.png,fifteen <unk>,33.png,three hundred five,one <unk> <unk>,True,0,0,0,0
17,forty seven,34.png,<unk> <unk>,35.png,four hundred seventy,one <unk> <unk>,False,0,0,0,0
18,nineteen,36.png,fifteen,37.png,one hundred nine,one <unk> <unk>,False,0,0,0,0
19,sixteen,38.png,fifteen,39.png,one hundred six,one <unk> <unk>,False,0,0,0,0
20,fifty three,40.png,fifteen <unk>,41.png,eighty,<unk>,True,0,0,0,0
21,two hundred sixteen,42.png,fifteen <unk> <unk>,43.png,two hundred sixty one,fifteen <unk> <unk> <unk>,False,0,0,0,0
22,four hundred twelve,44.png,one <unk> <unk>,45.png,four hundred twenty one,one <unk> <unk> <unk>,False,0,0,0,0
23,six,46.png,<unk>,47.png,thirteen,fifteen,False,0,0,0,0
