,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred six,0.png,<start> two two,1.png,two hundred sixty,<start> two two,True,0,0,0,0
1,one hundred,2.png,<start> two,3.png,one thousand,<start> two,True,0,0,0,0
2,sixty seven,4.png,<start> <start>,5.png,six hundred seventy,<start> <start> fifty,False,0,0,0,0
3,one thousand two,6.png,<start> two <end>,7.png,one thousand twenty,two two <end>,True,0,0,0,0
4,twenty one,8.png,<start> two,9.png,two hundred one,<start> two two,True,0,0,0,0
5,one hundred five,10.png,<start> two two,11.png,one hundred twenty five,<start> two fifty two,True,0,0,0,0
6,three hundred five,12.png,<start> two fifty,13.png,three hundred fifty,<start> two two,False,0,0,0,0
7,forty two,14.png,one <end>,15.png,four hundred two,two two <end>,False,0,0,0,0
8,five,16.png,<start>,17.png,fifteen,<start>,True,0,0,0,0
9,eleven,18.png,one,19.png,twenty four,two two,False,0,0,0,0
10,two,20.png,<start>,21.png,eight,<start>,False,0,0,0,0
11,twenty five,22.png,<start> two,23.png,four hundred five,<start> fifty fifty,True,0,0,0,0
12,sixty two,24.png,<start> fifty,25.png,six hundred two,<start> two fifty,False,0,0,0,0
13,twenty one,26.png,<start> two,27.png,two hundred ten,<start> five <end>,True,0,0,0,0
14,twenty four,28.png,two two,29.png,two hundred four,<start> two <end>,True,0,0,0,0
15,seventeen,30.png,one,31.png,twenty one,<start> two,True,0,0,0,0
16,thirty five,32.png,<start> two,33.png,three hundred five,<start> two fifty,True,0,0,0,0
17,forty seven,34.png,one one,35.png,four hundred seventy,<start> <start> <end>,False,0,0,0,0
18,nineteen,36.png,<start>,37.png,one hundred nine,<start> two <end>,False,0,0,0,0
19,sixteen,38.png,<start>,39.png,one hundred six,two two two,False,0,0,0,0
20,fifty three,40.png,<start> two,41.png,eighty,<start>,True,0,0,0,0
21,two hundred sixteen,42.png,<start> fifty fifty,43.png,two hundred sixty one,<start> two two <end>,False,0,0,0,0
22,four hundred twelve,44.png,one two <end>,45.png,four hundred twenty one,<start> <end> <end> <end>,False,0,0,0,0
23,six,46.png,<start>,47.png,thirteen,<start>,True,0,0,0,0
