,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,sixty eight,1.png,eight hundred seven,sixty eight eight,True,0,0,0,0
1,sixty four,2.png,sixty eight,3.png,six hundred four,eight eight eight,False,0,0,0,0
2,eighty five,4.png,sixty sixty,5.png,eight hundred fifty,sixty eight eight,False,0,0,0,0
3,thirty six,6.png,sixty nine,7.png,three hundred six,eight nine nine,True,0,0,0,0
4,twelve,8.png,eight,9.png,twenty two,eight eight,True,0,0,0,0
5,four hundred,10.png,eight eight,11.png,four thousand,eight eight,False,0,0,0,0
6,seventy six,12.png,eight eight,13.png,seven hundred sixty,eight eight eight,True,0,0,0,0
7,thirty one,14.png,sixty nine,15.png,three hundred one,eight nine nine,True,0,0,0,0
8,eighty nine,16.png,sixty eight,17.png,eight hundred nine,sixty eight eight,False,0,0,0,0
9,three hundred seven,18.png,eight nine nine,19.png,three hundred sixty seven,eight nine nine nine,False,0,0,0,0
10,thirteen,20.png,eight,21.png,forty two,eight eight,True,0,0,0,0
11,five hundred eight,22.png,sixty eight nine,23.png,five hundred eighty,eight eight eight,True,0,0,0,0
12,two thousand three,24.png,eight eight eight,25.png,two thousand thirty,eight eight eight,True,0,0,0,0
13,three hundred six,26.png,eight nine nine,27.png,three hundred sixty,eight nine nine,False,0,0,0,0
14,seven,28.png,<unk>,29.png,eighteen,sixty,False,0,0,0,0
15,five,30.png,sixty,31.png,eight,sixty,False,0,0,0,0
16,five hundred,32.png,eight eight,33.png,five thousand,eight eight,False,0,0,0,0
17,thirty six,34.png,sixty nine,35.png,five hundred nine,eight eight nine,True,0,0,0,0
18,forty two,36.png,eight eight,37.png,four hundred twenty,eight eight eight,True,0,0,0,0
19,twenty seven,38.png,eight eight,39.png,two hundred seven,sixty eight eight,False,0,0,0,0
20,six hundred eight,40.png,sixty eight eight,41.png,six hundred fifty eight,sixty eight eight eight,True,0,0,0,0
21,seventeen,42.png,<unk>,43.png,twenty eight,sixty eight,False,0,0,0,0
22,five hundred sixty seven,44.png,eight nine nine nine,45.png,five hundred seventy six,eight eight eight eight,False,0,0,0,0
23,one,46.png,fifteen,47.png,nine,sixty,False,0,0,0,0
