,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred six,0.png,sixteen sixteen sixteen,1.png,two hundred sixty,sixteen sixteen sixteen,True,0,0,0,0
1,one hundred,2.png,sixteen sixteen,3.png,one thousand,two two,False,0,0,0,0
2,sixty seven,4.png,sixteen two,5.png,six hundred seventy,sixteen sixteen sixteen,True,0,0,0,0
3,one thousand two,6.png,sixteen sixteen sixteen,7.png,one thousand twenty,sixteen sixteen sixteen,True,0,0,0,0
4,twenty one,8.png,two two,9.png,two hundred one,sixteen sixteen sixteen,True,0,0,0,0
5,one hundred five,10.png,sixteen sixteen sixteen,11.png,one hundred twenty five,sixty sixteen sixteen seventy,False,0,0,0,0
6,three hundred five,12.png,sixteen sixteen sixteen,13.png,three hundred fifty,sixteen sixteen sixteen,False,0,0,0,0
7,forty two,14.png,two two,15.png,four hundred two,eight sixteen fourteen,True,0,0,0,0
8,five,16.png,sixteen,17.png,fifteen,two,False,0,0,0,0
9,eleven,18.png,fifteen,19.png,twenty four,eight two,True,0,0,0,0
10,two,20.png,two,21.png,eight,two,True,0,0,0,0
11,twenty five,22.png,two seventy,23.png,four hundred five,eight sixteen sixteen,False,0,0,0,0
12,sixty two,24.png,sixteen sixteen,25.png,six hundred two,sixteen sixteen sixteen,True,0,0,0,0
13,twenty one,26.png,two two,27.png,two hundred ten,sixteen sixteen sixteen,True,0,0,0,0
14,twenty four,28.png,eight two,29.png,two hundred four,sixteen sixteen sixteen,False,0,0,0,0
15,seventeen,30.png,two,31.png,twenty one,two two,False,0,0,0,0
16,thirty five,32.png,sixteen sixteen,33.png,three hundred five,sixteen sixteen sixteen,True,0,0,0,0
17,forty seven,34.png,two two,35.png,four hundred seventy,eight fourteen fourteen,False,0,0,0,0
18,nineteen,36.png,two,37.png,one hundred nine,sixteen sixteen sixteen,True,0,0,0,0
19,sixteen,38.png,sixteen,39.png,one hundred six,sixteen sixteen sixteen,False,0,0,0,0
20,fifty three,40.png,sixteen sixteen,41.png,eighty,sixteen,False,0,0,0,0
21,two hundred sixteen,42.png,sixteen sixteen sixteen,43.png,two hundred sixty one,sixteen sixteen sixteen sixteen,False,0,0,0,0
22,four hundred twelve,44.png,eight two two,45.png,four hundred twenty one,eight two two two,False,0,0,0,0
23,six,46.png,sixteen,47.png,thirteen,fifteen,True,0,0,0,0
