,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred six,0.png,<unk> twelve twelve,1.png,two hundred sixty,<unk> twelve twelve,False,0,0,0,0
1,one hundred,2.png,<unk> thirteen,3.png,one thousand,<unk> thirteen,True,0,0,0,0
2,sixty seven,4.png,<unk> twelve,5.png,six hundred seventy,<unk> twelve twelve,False,0,0,0,0
3,one thousand two,6.png,<unk> thirteen thirteen,7.png,one thousand twenty,<unk> thirteen thirteen,False,0,0,0,0
4,twenty one,8.png,<unk> <unk>,9.png,two hundred one,<unk> twelve twelve,False,0,0,0,0
5,one hundred five,10.png,<unk> twelve twelve,11.png,one hundred twenty five,<unk> twelve twelve twelve,True,0,0,0,0
6,three hundred five,12.png,<unk> twelve twelve,13.png,three hundred fifty,<unk> twelve twelve,True,0,0,0,0
7,forty two,14.png,<unk> <unk>,15.png,four hundred two,<unk> twelve twelve,False,0,0,0,0
8,five,16.png,<unk>,17.png,fifteen,<unk>,True,0,0,0,0
9,eleven,18.png,<unk>,19.png,twenty four,<unk> <unk>,False,0,0,0,0
10,two,20.png,<unk>,21.png,eight,thousand,True,0,0,0,0
11,twenty five,22.png,<unk> twelve,23.png,four hundred five,<unk> twelve twelve,False,0,0,0,0
12,sixty two,24.png,<unk> twelve,25.png,six hundred two,<unk> twelve twelve,False,0,0,0,0
13,twenty one,26.png,<unk> <unk>,27.png,two hundred ten,<unk> twelve twelve,False,0,0,0,0
14,twenty four,28.png,<unk> <unk>,29.png,two hundred four,<unk> twelve twelve,False,0,0,0,0
15,seventeen,30.png,<unk>,31.png,twenty one,<unk> <unk>,True,0,0,0,0
16,thirty five,32.png,<unk> twelve,33.png,three hundred five,<unk> twelve twelve,False,0,0,0,0
17,forty seven,34.png,<unk> three,35.png,four hundred seventy,<unk> three three,False,0,0,0,0
18,nineteen,36.png,<unk>,37.png,one hundred nine,<unk> twelve twelve,False,0,0,0,0
19,sixteen,38.png,<unk>,39.png,one hundred six,<unk> thirteen twelve,True,0,0,0,0
20,fifty three,40.png,<unk> twelve,41.png,eighty,thousand,False,0,0,0,0
21,two hundred sixteen,42.png,<unk> twelve twelve,43.png,two hundred sixty one,<unk> twelve twelve twelve,True,0,0,0,0
22,four hundred twelve,44.png,<unk> <unk> three,45.png,four hundred twenty one,<unk> twelve twelve twelve,False,0,0,0,0
23,six,46.png,<unk>,47.png,thirteen,<unk>,True,0,0,0,0
