,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred six,0.png,forty forty forty,1.png,two hundred sixty,forty forty forty,False,0,0,0,0
1,one hundred,2.png,forty forty,3.png,one thousand,seventeen forty,False,0,0,0,0
2,sixty seven,4.png,forty forty,5.png,six hundred seventy,forty forty forty,False,0,0,0,0
3,one thousand two,6.png,seventeen forty forty,7.png,one thousand twenty,seventeen forty forty,False,0,0,0,0
4,twenty one,8.png,forty forty,9.png,two hundred one,forty forty forty,True,0,0,0,0
5,one hundred five,10.png,forty forty forty,11.png,one hundred twenty five,forty forty forty forty,False,0,0,0,0
6,three hundred five,12.png,forty forty forty,13.png,three hundred fifty,forty forty forty,False,0,0,0,0
7,forty two,14.png,forty forty,15.png,four hundred two,forty forty forty,False,0,0,0,0
8,five,16.png,forty,17.png,fifteen,forty,True,0,0,0,0
9,eleven,18.png,forty,19.png,twenty four,forty forty,False,0,0,0,0
10,two,20.png,forty,21.png,eight,forty,True,0,0,0,0
11,twenty five,22.png,forty forty,23.png,four hundred five,forty forty forty,True,0,0,0,0
12,sixty two,24.png,forty forty,25.png,six hundred two,seventeen forty forty,True,0,0,0,0
13,twenty one,26.png,forty forty,27.png,two hundred ten,forty forty forty,False,0,0,0,0
14,twenty four,28.png,forty forty,29.png,two hundred four,forty forty forty,True,0,0,0,0
15,seventeen,30.png,seventeen,31.png,twenty one,forty forty,True,0,0,0,0
16,thirty five,32.png,forty forty,33.png,three hundred five,forty forty forty,True,0,0,0,0
17,forty seven,34.png,seventeen forty,35.png,four hundred seventy,forty forty forty,False,0,0,0,0
18,nineteen,36.png,forty,37.png,one hundred nine,forty forty forty,False,0,0,0,0
19,sixteen,38.png,forty,39.png,one hundred six,forty forty forty,True,0,0,0,0
20,fifty three,40.png,forty forty,41.png,eighty,forty,False,0,0,0,0
21,two hundred sixteen,42.png,forty forty forty,43.png,two hundred sixty one,seventeen forty forty forty,False,0,0,0,0
22,four hundred twelve,44.png,forty forty forty,45.png,four hundred twenty one,forty forty forty forty,True,0,0,0,0
23,six,46.png,forty,47.png,thirteen,forty,True,0,0,0,0
