,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,seventeen seventeen,1.png,eight hundred seven,ten two two,True,0,0,0,0
1,sixty four,2.png,ten ten,3.png,six hundred four,ten ten two,False,0,0,0,0
2,eighty five,4.png,ten ten,5.png,eight hundred fifty,ten ten two,True,0,0,0,0
3,thirty six,6.png,ten ten,7.png,three hundred six,ten ten ten,False,0,0,0,0
4,twelve,8.png,ten,9.png,twenty two,ten ten,False,0,0,0,0
5,four hundred,10.png,ten ten,11.png,four thousand,ten ten,False,0,0,0,0
6,seventy six,12.png,ten ten,13.png,seven hundred sixty,ten ten two,True,0,0,0,0
7,thirty one,14.png,ten ten,15.png,three hundred one,ten ten ten,True,0,0,0,0
8,eighty nine,16.png,ten ten,17.png,eight hundred nine,ten ten two,True,0,0,0,0
9,three hundred seven,18.png,ten ten ten,19.png,three hundred sixty seven,ten ten ten ten,False,0,0,0,0
10,thirteen,20.png,ten,21.png,forty two,ten ten,True,0,0,0,0
11,five hundred eight,22.png,ten ten ten,23.png,five hundred eighty,ten ten two,False,0,0,0,0
12,two thousand three,24.png,ten ten ten,25.png,two thousand thirty,ten ten ten,True,0,0,0,0
13,three hundred six,26.png,ten ten ten,27.png,three hundred sixty,ten ten ten,False,0,0,0,0
14,seven,28.png,ten,29.png,eighteen,ten,False,0,0,0,0
15,five,30.png,seventeen,31.png,eight,seventeen,False,0,0,0,0
16,five hundred,32.png,ten ten,33.png,five thousand,ten ten,False,0,0,0,0
17,thirty six,34.png,ten ten,35.png,five hundred nine,ten ten ten,True,0,0,0,0
18,forty two,36.png,ten ten,37.png,four hundred twenty,ten ten ten,False,0,0,0,0
19,twenty seven,38.png,ten ten,39.png,two hundred seven,ten ten two,False,0,0,0,0
20,six hundred eight,40.png,ten ten two,41.png,six hundred fifty eight,ten ten ten two,True,0,0,0,0
21,seventeen,42.png,ten,43.png,twenty eight,ten seventeen,False,0,0,0,0
22,five hundred sixty seven,44.png,ten ten ten two,45.png,five hundred seventy six,ten ten ten two,True,0,0,0,0
23,one,46.png,ten,47.png,nine,ten,True,0,0,0,0
