,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,seventy twelve,1.png,eight hundred seven,seventy eleven eleven,False,0,0,0,0
1,sixty four,2.png,hundred eleven,3.png,six hundred four,seventy eleven eleven,False,0,0,0,0
2,eighty five,4.png,seventy seventy,5.png,eight hundred fifty,seventy seventy eleven,False,0,0,0,0
3,thirty six,6.png,seventy seventy,7.png,three hundred six,seventy eleven eleven,True,0,0,0,0
4,twelve,8.png,fifteen,9.png,twenty two,seventy eleven,True,0,0,0,0
5,four hundred,10.png,seventy eleven,11.png,four thousand,seventy eleven,True,0,0,0,0
6,seventy six,12.png,seventy eleven,13.png,seven hundred sixty,seventy eleven eleven,False,0,0,0,0
7,thirty one,14.png,twelve twelve,15.png,three hundred one,seventy eleven eleven,False,0,0,0,0
8,eighty nine,16.png,seventy seventy,17.png,eight hundred nine,seventy seventy eleven,True,0,0,0,0
9,three hundred seven,18.png,seventy eleven eleven,19.png,three hundred sixty seven,seventy eleven eleven eleven,True,0,0,0,0
10,thirteen,20.png,twelve,21.png,forty two,hundred eleven,True,0,0,0,0
11,five hundred eight,22.png,seventy eleven eleven,23.png,five hundred eighty,seventy five five,False,0,0,0,0
12,two thousand three,24.png,seventy eleven eleven,25.png,two thousand thirty,seventy eleven eleven,True,0,0,0,0
13,three hundred six,26.png,seventy eleven eleven,27.png,three hundred sixty,seventy eleven eleven,False,0,0,0,0
14,seven,28.png,fifteen,29.png,eighteen,seventy,False,0,0,0,0
15,five,30.png,seventy,31.png,eight,seventy,False,0,0,0,0
16,five hundred,32.png,seventy eleven,33.png,five thousand,seventy eleven,True,0,0,0,0
17,thirty six,34.png,seventy seventy,35.png,five hundred nine,seventy eleven eleven,True,0,0,0,0
18,forty two,36.png,hundred eleven,37.png,four hundred twenty,seventy eleven eleven,True,0,0,0,0
19,twenty seven,38.png,seventy eleven,39.png,two hundred seven,seventy eleven eleven,False,0,0,0,0
20,six hundred eight,40.png,seventy seventy eleven,41.png,six hundred fifty eight,seventy seventy eleven eleven,False,0,0,0,0
21,seventeen,42.png,fifteen,43.png,twenty eight,seventy seventy,False,0,0,0,0
22,five hundred sixty seven,44.png,seventy eleven eleven eleven,45.png,five hundred seventy six,seventy seventy eleven eleven,True,0,0,0,0
23,one,46.png,twelve,47.png,nine,seventy,True,0,0,0,0
