,,Time_0,Time_1
one,<pad>,-0.1777142,-0.17809893
one,one,5.6568437,-0.1478642
one,two,-0.17699808,-0.17804526
one,three,-0.1770993,-0.17805238
one,four,-0.17382677,-0.17660084
one,five,-0.16813648,-0.17755193
one,six,-0.17744462,-0.17807005
one,seven,-0.17574494,-0.17789963
one,eight,-0.17746711,-0.17806058
one,nine,-0.1774486,-0.1780975
one,ten,-0.17771664,-0.17811774
one,eleven,-0.17770442,-0.17812167
one,twelve,-0.17770068,-0.17812154
one,thirteen,-0.17772603,-0.17812335
one,fourteen,-0.176813,-0.1780341
one,fifteen,-0.17541558,-0.1776411
one,sixteen,-0.17720963,-0.17809801
one,seventeen,-0.17770565,-0.17811285
one,eighteen,-0.177696,-0.17811204
one,nineteen,-0.17747498,-0.17805573
one,twenty,-0.17207964,-0.17775899
one,thirty,-0.17702632,-0.17767261
one,forty,-0.17748092,-0.17768754
one,fifty,-0.17770366,-0.17808333
one,sixty,-0.17758323,-0.17800558
one,seventy,-0.17750448,-0.17802154
one,eighty,-0.1774535,-0.17808755
one,ninety,-0.177674,-0.17810738
one,hundred,-0.17705537,-0.17070767
one,thousand,-0.17760254,-0.17754523
one,<unk>,-0.177695,-0.1781212
one,<start>,-0.17764531,-0.17809787
one,<end>,-0.17729689,5.6567755
nine,<pad>,-0.19318882,-0.17719798
nine,one,-0.1838911,-0.17707147
nine,two,-0.15569988,-0.17696029
nine,three,-0.18793058,-0.17711018
nine,four,-0.17071901,-0.17696783
nine,five,-0.17621362,-0.17710131
nine,six,-0.008785925,-0.17669989
nine,seven,-0.18689145,-0.17716211
nine,eight,-0.07888118,-0.17681853
nine,nine,5.6531787,-0.17637964
nine,ten,-0.19318844,-0.17721656
nine,eleven,-0.19331786,-0.17722435
nine,twelve,-0.19284125,-0.17722128
nine,thirteen,-0.19308123,-0.17721598
nine,fourteen,-0.18830433,-0.17717947
nine,fifteen,-0.18870267,-0.17693475
nine,sixteen,-0.18971589,-0.1772007
nine,seventeen,-0.19296813,-0.17721973
nine,eighteen,-0.19180922,-0.17719892
nine,nineteen,-0.18707454,-0.1770926
nine,twenty,-0.1859817,-0.17720483
nine,thirty,-0.18645208,-0.1766249
nine,forty,-0.18577097,-0.17684041
nine,fifty,-0.19112988,-0.17711605
nine,sixty,-0.17042476,-0.17666425
nine,seventy,-0.16986983,-0.17689486
nine,eighty,-0.16458678,-0.17712897
nine,ninety,-0.19314398,-0.17721337
nine,hundred,-0.187666,-0.1697776
nine,thousand,-0.18926825,-0.17577139
nine,<unk>,-0.19173855,-0.1772199
nine,<start>,-0.19290975,-0.17721935
nine,<end>,-0.19103076,5.6568494
