,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct
0,two hundred and six,0.png,two hundred,1.png,two hundred and sixty,two hundred,False
1,one hundred,2.png,two hundred and,3.png,one thousand,two hundred,True
2,sixty seven,4.png,two hundred and,5.png,six hundred and seventy,two hundred and,True
3,one thousand and two,6.png,two hundred,7.png,one thousand and twenty,two hundred,True
4,twenty one,8.png,two hundred and,9.png,two hundred and one,two hundred,False
5,one hundred and five,10.png,two hundred and,11.png,one hundred and twenty five,two hundred and,False
6,three hundred and five,12.png,two hundred and,13.png,three hundred and fifty,two hundred and,False
7,forty two,14.png,two hundred and,15.png,four hundred and two,two hundred and,False
8,five,16.png,two hundred and,17.png,fifteen,two hundred and,False
9,eleven,18.png,hundred hundred and,19.png,twenty four,two hundred and,True
10,two,20.png,two hundred and,21.png,eight,two hundred,False
11,twenty five,22.png,two hundred and,23.png,four hundred and five,two hundred and,True
12,sixty two,24.png,two hundred and,25.png,six hundred and two,two hundred,True
13,twenty one,26.png,two hundred and,27.png,two hundred and ten,two hundred and,True
14,twenty four,28.png,two hundred and,29.png,two hundred and four,two hundred and,False
15,seventeen,30.png,two hundred and,31.png,twenty one,two hundred and,True
16,thirty five,32.png,two hundred and,33.png,three hundred and five,two hundred and,False
17,forty seven,34.png,two hundred and,35.png,four hundred and seventy,two hundred and,True
18,nineteen,36.png,two hundred and,37.png,one hundred and nine,two hundred and,True
19,sixteen,38.png,two hundred and,39.png,one hundred and six,two hundred and,False
20,fifty three,40.png,two hundred and,41.png,eighty,two hundred,True
21,two hundred and sixteen,42.png,two hundred and,43.png,two hundred and sixty one,two hundred and,True
22,four hundred and twelve,44.png,two hundred and,45.png,four hundred and twenty one,two hundred and,True
23,six,46.png,two hundred and,47.png,thirteen,hundred hundred and and,False
