,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct,predicted_foil_numbers,predicted_target_numbers,true_foil_numbers,true_target_numbers
0,seventy eight,0.png,two hundred,13,1.png,eight hundred and seven,two hundred,13,0,200,200,807,78
1,sixty four,2.png,four hundred,11,3.png,six hundred and four,two hundred,11,0,200,400,604,64
2,eighty five,4.png,two hundred,11,5.png,eight hundred and fifty,two hundred,11,0,200,200,850,85
3,thirty six,6.png,three hundred,10,7.png,three hundred and six,two hundred,10,0,200,300,306,36
4,twelve,8.png,four hundred,11,9.png,twenty two,two hundred,8,0,200,400,22,12
5,four hundred,10.png,two hundred and,8,11.png,four thousand,two hundred,4,0,200,200,4000,400
6,seventy six,12.png,two hundred and,13,13.png,seven hundred and sixty,two hundred and,13,0,200,200,760,76
7,thirty one,14.png,three hundred,8,15.png,three hundred and one,two hundred and,10,1,200,300,301,31
8,eighty nine,16.png,two hundred,10,17.png,eight hundred and nine,two hundred,10,0,200,200,809,89
9,three hundred and seven,18.png,two hundred and,10,19.png,three hundred and sixty seven,two hundred and,10,0,200,200,367,307
10,thirteen,20.png,three hundred,9,21.png,forty two,four hundred and,13,1,400,300,42,13
11,five hundred and eight,22.png,two hundred,14,23.png,five hundred and eighty,two hundred,14,0,200,200,580,508
12,two thousand and three,24.png,two hundred,12,25.png,two thousand and thirty,two hundred,12,0,200,200,2030,2003
13,three hundred and six,26.png,two hundred,12,27.png,three hundred and sixty,two hundred,12,0,200,200,360,306
14,seven,28.png,three,4,29.png,eighteen,one,4,0,1,3,18,7
15,five,30.png,two hundred,10,31.png,eight,three,4,0,3,200,8,5
16,five hundred,32.png,two hundred,4,33.png,five thousand,three hundred and,8,1,300,200,5000,500
17,thirty six,34.png,three hundred,10,35.png,five hundred and nine,two hundred,10,0,200,300,509,36
18,forty two,36.png,four hundred and,12,37.png,four hundred and twenty,two hundred and,12,0,200,400,420,42
19,twenty seven,38.png,two hundred,9,39.png,two hundred and seven,two hundred,9,0,200,200,207,27
20,six hundred and eight,40.png,two hundred,13,41.png,six hundred and fifty eight,two hundred,13,0,200,200,658,608
21,seventeen,42.png,four hundred and,13,43.png,twenty eight,two hundred,9,0,200,400,28,17
22,five hundred and sixty seven,44.png,two hundred and,16,45.png,five hundred and seventy six,two hundred and,16,0,200,200,576,567
23,one,46.png,one,0,47.png,nine,two hundred,8,1,200,1,9,1
