,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct
0,two hundred and six,0.png,four thousand,1.png,two hundred and sixty,two hundred and,False
1,one hundred,2.png,one hundred,3.png,one thousand,one thousand,True
2,sixty seven,4.png,four hundred,5.png,six hundred and seventy,five hundred and,True
3,one thousand and two,6.png,one thousand,7.png,one thousand and twenty,four thousand,True
4,twenty one,8.png,one,9.png,two hundred and one,two hundred,True
5,one hundred and five,10.png,one hundred and,11.png,one hundred and twenty five,five hundred and five,True
6,three hundred and five,12.png,five hundred and five,13.png,three hundred and fifty,three hundred and,False
7,forty two,14.png,four hundred,15.png,four hundred and two,four hundred and,False
8,five,16.png,three,17.png,fifteen,one hundred and,False
9,eleven,18.png,one hundred,19.png,twenty four,four hundred,True
10,two,20.png,two,21.png,eight,two,True
11,twenty five,22.png,five hundred and,23.png,four hundred and five,four hundred and five,True
12,sixty two,24.png,two hundred,25.png,six hundred and two,two hundred and,False
13,twenty one,26.png,one,27.png,two hundred and ten,two hundred and,True
14,twenty four,28.png,four hundred,29.png,two hundred and four,four thousand,True
15,seventeen,30.png,one,31.png,twenty one,one,True
16,thirty five,32.png,three hundred and,33.png,three hundred and five,five hundred and five,True
17,forty seven,34.png,four hundred,35.png,four hundred and seventy,four hundred and,True
18,nineteen,36.png,one,37.png,one hundred and nine,one,True
19,sixteen,38.png,<unk>,39.png,one hundred and six,one hundred,True
20,fifty three,40.png,five hundred and,41.png,eighty,two,True
21,two hundred and sixteen,42.png,two hundred and,43.png,two hundred and sixty one,two hundred and,False
22,four hundred and twelve,44.png,four hundred and,45.png,four hundred and twenty one,four hundred and,True
23,six,46.png,two,47.png,thirteen,three hundred,True
