,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,four hundred,1.png,eight hundred and seven,two hundred and,True,78,807,400,200
1,sixty four,2.png,two hundred and,3.png,six hundred and four,four hundred and,True,64,604,200,400
2,eighty five,4.png,eighty hundred,5.png,eight hundred and fifty,four hundred,False,85,850,8000,400
3,thirty six,6.png,two hundred and,7.png,three hundred and six,five hundred and,False,36,306,200,500
4,twelve,8.png,one hundred,9.png,twenty two,two hundred and,True,12,22,100,200
5,four hundred,10.png,four hundred,11.png,four thousand,one thousand,True,400,4000,400,1000
6,seventy six,12.png,four hundred,13.png,seven hundred and sixty,four hundred and,False,76,760,400,400
7,thirty one,14.png,one hundred,15.png,three hundred and one,five hundred and,True,31,301,100,500
8,eighty nine,16.png,two hundred,17.png,eight hundred and nine,two hundred and,True,89,809,200,200
9,three hundred and seven,18.png,five hundred and,19.png,three hundred and sixty seven,five hundred and,False,307,367,500,500
10,thirteen,20.png,<unk> hundred and,21.png,forty two,four hundred,True,13,42,N/A,400
11,five hundred and eight,22.png,five hundred and,23.png,five hundred and eighty,five hundred and,False,508,580,500,500
12,two thousand and three,24.png,two thousand,25.png,two thousand and thirty,two hundred,True,2003,2030,2000,200
13,three hundred and six,26.png,five hundred and,27.png,three hundred and sixty,five hundred and,True,306,360,500,500
14,seven,28.png,seven,29.png,eighteen,<unk>,True,7,18,7,N/A
15,five,30.png,four hundred,31.png,eight,eight,True,5,8,400,8
16,five hundred,32.png,five hundred and,33.png,five thousand,five hundred,True,500,5000,500,500
17,thirty six,34.png,two hundred and,35.png,five hundred and nine,five hundred and,False,36,509,200,500
18,forty two,36.png,four hundred,37.png,four hundred and twenty,four hundred and,True,42,420,400,400
19,twenty seven,38.png,one hundred and,39.png,two hundred and seven,two hundred,True,27,207,100,200
20,six hundred and eight,40.png,two hundred and,41.png,six hundred and fifty eight,two hundred and,False,608,658,200,200
21,seventeen,42.png,<unk> hundred,43.png,twenty eight,two hundred and,True,17,28,N/A,200
22,five hundred and sixty seven,44.png,five hundred and,45.png,five hundred and seventy six,five hundred and,True,567,576,500,500
23,one,46.png,one,47.png,nine,two hundred,True,1,9,1,200
