,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct
0,two hundred and six,0.png,two hundred and five,1.png,two hundred and sixty,two hundred and sixty,True
1,one hundred,2.png,one hundred and,3.png,one thousand,one thousand,True
2,sixty seven,4.png,six,5.png,six hundred and seventy,six hundred and seventy,True
3,one thousand and two,6.png,one thousand and two,7.png,one thousand and twenty,one thousand six hundred and,True
4,twenty one,8.png,twenty one,9.png,two hundred and one,two hundred and five,True
5,one hundred and five,10.png,one hundred and five,11.png,one hundred and twenty five,one hundred and twenty five,True
6,three hundred and five,12.png,three hundred and five,13.png,three hundred and fifty,three hundred and fifty,True
7,forty two,14.png,four four,15.png,four hundred and two,four hundred and two,True
8,five,16.png,five,17.png,fifteen,fifteen,True
9,eleven,18.png,one one,19.png,twenty four,twenty four,True
10,two,20.png,two,21.png,eight,eight,True
11,twenty five,22.png,fifteen,23.png,four hundred and five,four hundred and five,True
12,sixty two,24.png,six hundred,25.png,six hundred and two,six hundred and two,True
13,twenty one,26.png,twenty one,27.png,two hundred and ten,two hundred and fifty,True
14,twenty four,28.png,twenty four,29.png,two hundred and four,two hundred and five,True
15,seventeen,30.png,one,31.png,twenty one,twenty one,True
16,thirty five,32.png,thirty,33.png,three hundred and five,three hundred and five,True
17,forty seven,34.png,four hundred,35.png,four hundred and seventy,four hundred and seventy,True
18,nineteen,36.png,<unk>,37.png,one hundred and nine,one hundred and,True
19,sixteen,38.png,<unk>,39.png,one hundred and six,one hundred and,True
20,fifty three,40.png,thirty,41.png,eighty,eighty,True
21,two hundred and sixteen,42.png,two hundred and sixty,43.png,two hundred and sixty one,two hundred and sixty one,True
22,four hundred and twelve,44.png,four hundred and twenty,45.png,four hundred and twenty one,four hundred and twenty one,False
23,six,46.png,six,47.png,thirteen,fifteen,True
