,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct
0,two hundred and six,0.png,two hundred and,1.png,two hundred and sixty,two hundred,False
1,one hundred,2.png,two hundred and,3.png,one thousand,two hundred,True
2,sixty seven,4.png,two hundred,5.png,six hundred and seventy,two hundred and,True
3,one thousand and two,6.png,two hundred,7.png,one thousand and twenty,two hundred,True
4,twenty one,8.png,one hundred,9.png,two hundred and one,one hundred and,True
5,one hundred and five,10.png,one hundred and,11.png,one hundred and twenty five,one hundred and,False
6,three hundred and five,12.png,two hundred and,13.png,three hundred and fifty,three hundred and,True
7,forty two,14.png,four hundred and,15.png,four hundred and two,two hundred and,False
8,five,16.png,two,17.png,fifteen,one hundred and,True
9,eleven,18.png,one hundred,19.png,twenty four,four hundred,True
10,two,20.png,two,21.png,eight,two,False
11,twenty five,22.png,two hundred and,23.png,four hundred and five,four hundred and,True
12,sixty two,24.png,two hundred,25.png,six hundred and two,two hundred and,False
13,twenty one,26.png,one hundred,27.png,two hundred and ten,one hundred and,True
14,twenty four,28.png,four hundred,29.png,two hundred and four,two hundred and,True
15,seventeen,30.png,one hundred,31.png,twenty one,one hundred,True
16,thirty five,32.png,three hundred and,33.png,three hundred and five,two hundred and,False
17,forty seven,34.png,four hundred,35.png,four hundred and seventy,four hundred,True
18,nineteen,36.png,one hundred,37.png,one hundred and nine,two hundred,True
19,sixteen,38.png,one hundred,39.png,one hundred and six,one hundred,True
20,fifty three,40.png,five hundred,41.png,eighty,two hundred,True
21,two hundred and sixteen,42.png,one hundred and,43.png,two hundred and sixty one,two hundred and,False
22,four hundred and twelve,44.png,four hundred and,45.png,four hundred and twenty one,four hundred and,False
23,six,46.png,two,47.png,thirteen,one hundred,True
