,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred and six,0.png,two hundred and sixty,1.png,two hundred and sixty,two hundred and sixty,True,206,260,260,260
1,one hundred,2.png,one hundred and seventy,3.png,one thousand,one thousand,True,100,1000,170,1000
2,sixty seven,4.png,sixty,5.png,six hundred and seventy,six hundred and seventy,True,67,670,60,670
3,one thousand and two,6.png,one thousand and two,7.png,one thousand and twenty,one thousand six and twenty,True,1002,1020,1002,1026
4,twenty one,8.png,twenty one,9.png,two hundred and one,two hundred and twenty,True,21,201,21,220
5,one hundred and five,10.png,one hundred and five,11.png,one hundred and twenty five,one hundred and twenty five,True,105,125,105,125
6,three hundred and five,12.png,three hundred and five,13.png,three hundred and fifty,three hundred and fifty,True,305,350,305,350
7,forty two,14.png,forty,15.png,four hundred and two,four hundred and two,True,42,402,40,402
8,five,16.png,five,17.png,fifteen,fifteen,True,5,15,5,15
9,eleven,18.png,<unk>,19.png,twenty four,twenty four,True,11,24,N/A,24
10,two,20.png,two,21.png,eight,eight,True,2,8,2,8
11,twenty five,22.png,five hundred and,23.png,four hundred and five,four hundred and five,True,25,405,500,405
12,sixty two,24.png,sixty,25.png,six hundred and two,six hundred and two,True,62,602,60,602
13,twenty one,26.png,twenty one,27.png,two hundred and ten,two hundred and twenty,True,21,210,21,220
14,twenty four,28.png,twenty four,29.png,two hundred and four,two hundred and twenty four,True,24,204,24,224
15,seventeen,30.png,<unk>,31.png,twenty one,twenty one,True,17,21,N/A,21
16,thirty five,32.png,thirty thirty,33.png,three hundred and five,three hundred and five,True,35,305,60,305
17,forty seven,34.png,forty,35.png,four hundred and seventy,four hundred and seventy,True,47,470,40,470
18,nineteen,36.png,<unk>,37.png,one hundred and nine,one hundred and twenty,True,19,109,N/A,120
19,sixteen,38.png,<unk>,39.png,one hundred and six,one hundred and sixty,True,16,106,N/A,160
20,fifty three,40.png,five hundred and,41.png,eighty,eighty,True,53,80,500,80
21,two hundred and sixteen,42.png,two hundred and twenty,43.png,two hundred and sixty one,two hundred and sixty one,False,216,261,220,261
22,four hundred and twelve,44.png,four hundred and twenty,45.png,four hundred and twenty one,four hundred and twenty one,False,412,421,420,421
23,six,46.png,six,47.png,thirteen,<unk>,True,6,13,6,N/A
