,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,four,1.png,eight hundred and seven,four thousand,True,78,807,4,4000
1,sixty four,2.png,four hundred and,3.png,six hundred and four,four thousand,True,64,604,400,4000
2,eighty five,4.png,four hundred,5.png,eight hundred and fifty,four hundred,False,85,850,400,400
3,thirty six,6.png,three hundred,7.png,three hundred and six,three thousand and,False,36,306,300,3000
4,twelve,8.png,twenty,9.png,twenty two,twenty hundred,True,12,22,20,2000
5,four hundred,10.png,four thousand,11.png,four thousand,three thousand,True,400,4000,4000,3000
6,seventy six,12.png,<unk>,13.png,seven hundred and sixty,four hundred and,True,76,760,N/A,400
7,thirty one,14.png,five,15.png,three hundred and one,three hundred and,True,31,301,5,300
8,eighty nine,16.png,two hundred,17.png,eight hundred and nine,five,False,89,809,200,5
9,three hundred and seven,18.png,three hundred and,19.png,three hundred and sixty seven,three hundred and twenty,True,307,367,300,320
10,thirteen,20.png,three,21.png,forty two,four hundred,False,13,42,3,400
11,five hundred and eight,22.png,three hundred and,23.png,five hundred and eighty,three hundred and,True,508,580,300,300
12,two thousand and three,24.png,three thousand,25.png,two thousand and thirty,three thousand,True,2003,2030,3000,3000
13,three hundred and six,26.png,three thousand and,27.png,three hundred and sixty,three hundred and,False,306,360,3000,300
14,seven,28.png,seven,29.png,eighteen,<unk>,True,7,18,7,N/A
15,five,30.png,five,31.png,eight,eight,True,5,8,5,8
16,five hundred,32.png,five hundred and,33.png,five thousand,five hundred and,False,500,5000,500,500
17,thirty six,34.png,three hundred,35.png,five hundred and nine,five hundred,False,36,509,300,500
18,forty two,36.png,four hundred,37.png,four hundred and twenty,four hundred and,True,42,420,400,400
19,twenty seven,38.png,twenty hundred,39.png,two hundred and seven,two hundred and,True,27,207,2000,200
20,six hundred and eight,40.png,four hundred and,41.png,six hundred and fifty eight,two hundred and twenty,True,608,658,400,220
21,seventeen,42.png,one,43.png,twenty eight,two hundred,True,17,28,1,200
22,five hundred and sixty seven,44.png,three hundred and twenty,45.png,five hundred and seventy six,three hundred and,False,567,576,320,300
23,one,46.png,one,47.png,nine,nine,True,1,9,1,9
