,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,<unk>,1.png,eight hundred and seven,two hundred and,True,78,807,N/A,200
1,sixty four,2.png,two hundred,3.png,six hundred and four,four hundred,False,64,604,200,400
2,eighty five,4.png,five hundred,5.png,eight hundred and fifty,four hundred,False,85,850,500,400
3,thirty six,6.png,three hundred,7.png,three hundred and six,three hundred and,False,36,306,300,300
4,twelve,8.png,one,9.png,twenty two,two hundred,True,12,22,1,200
5,four hundred,10.png,four hundred,11.png,four thousand,three thousand,True,400,4000,400,3000
6,seventy six,12.png,<unk>,13.png,seven hundred and sixty,four hundred and,False,76,760,N/A,400
7,thirty one,14.png,one hundred,15.png,three hundred and one,three hundred and,True,31,301,100,300
8,eighty nine,16.png,two hundred,17.png,eight hundred and nine,two hundred and,True,89,809,200,200
9,three hundred and seven,18.png,three hundred and,19.png,three hundred and sixty seven,five hundred and,False,307,367,300,500
10,thirteen,20.png,five hundred,21.png,forty two,four hundred,False,13,42,500,400
11,five hundred and eight,22.png,five hundred and,23.png,five hundred and eighty,three hundred and,True,508,580,500,300
12,two thousand and three,24.png,two thousand,25.png,two thousand and thirty,three,True,2003,2030,2000,3
13,three hundred and six,26.png,three hundred and,27.png,three hundred and sixty,five hundred and,False,306,360,300,500
14,seven,28.png,one,29.png,eighteen,one,True,7,18,1,1
15,five,30.png,five,31.png,eight,two,True,5,8,5,2
16,five hundred,32.png,five hundred and,33.png,five thousand,five thousand,True,500,5000,500,5000
17,thirty six,34.png,three hundred,35.png,five hundred and nine,two hundred and,True,36,509,300,200
18,forty two,36.png,four hundred,37.png,four hundred and twenty,four hundred and,False,42,420,400,400
19,twenty seven,38.png,four hundred,39.png,two hundred and seven,two hundred,True,27,207,400,200
20,six hundred and eight,40.png,two hundred and,41.png,six hundred and fifty eight,two hundred and,False,608,658,200,200
21,seventeen,42.png,one,43.png,twenty eight,two hundred,True,17,28,1,200
22,five hundred and sixty seven,44.png,five hundred and,45.png,five hundred and seventy six,five hundred and,True,567,576,500,500
23,one,46.png,one,47.png,nine,five,True,1,9,1,5
