,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct
0,two hundred and six,0.png,six hundred and,1.png,two hundred and sixty,six hundred and,False
1,one hundred,2.png,six hundred,3.png,one thousand,one thousand,False
2,sixty seven,4.png,four hundred and,5.png,six hundred and seventy,six hundred and,True
3,one thousand and two,6.png,one thousand,7.png,one thousand and twenty,one thousand and,True
4,twenty one,8.png,one hundred and,9.png,two hundred and one,six hundred,True
5,one hundred and five,10.png,one hundred and,11.png,one hundred and twenty five,one hundred and five,False
6,three hundred and five,12.png,five hundred and five,13.png,three hundred and fifty,three hundred and and,True
7,forty two,14.png,four hundred and,15.png,four hundred and two,four hundred and,False
8,five,16.png,four,17.png,fifteen,five hundred and,False
9,eleven,18.png,one hundred,19.png,twenty four,four hundred and twenty,True
10,two,20.png,two,21.png,eight,eight,True
11,twenty five,22.png,hundred hundred and,23.png,four hundred and five,four hundred and,True
12,sixty two,24.png,two hundred and,25.png,six hundred and two,two hundred and twenty,True
13,twenty one,26.png,one hundred and,27.png,two hundred and ten,six hundred and,True
14,twenty four,28.png,four hundred and twenty,29.png,two hundred and four,four hundred and,True
15,seventeen,30.png,four hundred,31.png,twenty one,one hundred and,True
16,thirty five,32.png,three hundred and twenty,33.png,three hundred and five,five hundred and five,True
17,forty seven,34.png,four hundred and,35.png,four hundred and seventy,four hundred and,True
18,nineteen,36.png,<unk>,37.png,one hundred and nine,one hundred and,True
19,sixteen,38.png,<unk>,39.png,one hundred and six,six hundred,True
20,fifty three,40.png,five hundred and,41.png,eighty,eighty,True
21,two hundred and sixteen,42.png,six hundred and,43.png,two hundred and sixty one,six hundred and,True
22,four hundred and twelve,44.png,four hundred and,45.png,four hundred and twenty one,four hundred and,False
23,six,46.png,two,47.png,thirteen,hundred hundred and,True
