,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct
0,two hundred and six,0.png,two hundred and two,1.png,two hundred and sixty,two hundred and sixty,True
1,one hundred,2.png,one hundred and,3.png,one thousand,one thousand,True
2,sixty seven,4.png,two hundred and,5.png,six hundred and seventy,five hundred and,True
3,one thousand and two,6.png,one thousand and,7.png,one thousand and twenty,one thousand and,True
4,twenty one,8.png,twenty one,9.png,two hundred and one,two hundred and two,True
5,one hundred and five,10.png,one hundred and five five,11.png,one hundred and twenty five,one hundred and five five,True
6,three hundred and five,12.png,three hundred and five,13.png,three hundred and fifty,two hundred and and,True
7,forty two,14.png,four hundred,15.png,four hundred and two,four hundred and,False
8,five,16.png,five,17.png,fifteen,one hundred and,True
9,eleven,18.png,one one,19.png,twenty four,four hundred and,True
10,two,20.png,two,21.png,eight,eight,True
11,twenty five,22.png,two hundred and,23.png,four hundred and five,four hundred and five,True
12,sixty two,24.png,two hundred and,25.png,six hundred and two,two hundred and sixty,True
13,twenty one,26.png,twenty one,27.png,two hundred and ten,two hundred and twenty,True
14,twenty four,28.png,four hundred and,29.png,two hundred and four,two hundred and two,True
15,seventeen,30.png,one,31.png,twenty one,twenty one,True
16,thirty five,32.png,three hundred and,33.png,three hundred and five,three hundred and five,False
17,forty seven,34.png,four four,35.png,four hundred and seventy,four hundred and,True
18,nineteen,36.png,<unk>,37.png,one hundred and nine,one hundred and,True
19,sixteen,38.png,one hundred and,39.png,one hundred and six,one hundred and,True
20,fifty three,40.png,three hundred,41.png,eighty,eighty,True
21,two hundred and sixteen,42.png,two hundred and twenty,43.png,two hundred and sixty one,two hundred and sixty,False
22,four hundred and twelve,44.png,four hundred and,45.png,four hundred and twenty one,four hundred and twenty,True
23,six,46.png,six,47.png,thirteen,three hundred,True
