,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,eight hundred and,1.png,eight hundred and seven,two hundred and,True,78,807,800,200
1,sixty four,2.png,<unk> hundred,3.png,six hundred and four,four hundred and,True,64,604,N/A,400
2,eighty five,4.png,two hundred,5.png,eight hundred and fifty,four,False,85,850,200,4
3,thirty six,6.png,one hundred and,7.png,three hundred and six,three hundred and,False,36,306,100,300
4,twelve,8.png,one hundred and,9.png,twenty two,one hundred and,True,12,22,100,100
5,four hundred,10.png,one hundred and,11.png,four thousand,five thousand,True,400,4000,100,5000
6,seventy six,12.png,sixty,13.png,seven hundred and sixty,five hundred and,True,76,760,60,500
7,thirty one,14.png,one hundred,15.png,three hundred and one,three hundred and,True,31,301,100,300
8,eighty nine,16.png,two hundred and,17.png,eight hundred and nine,five,False,89,809,200,5
9,three hundred and seven,18.png,three hundred and,19.png,three hundred and sixty seven,three hundred and and,True,307,367,300,300
10,thirteen,20.png,three hundred and,21.png,forty two,four hundred and,True,13,42,300,400
11,five hundred and eight,22.png,five hundred and,23.png,five hundred and eighty,three hundred and twenty,True,508,580,500,320
12,two thousand and three,24.png,three thousand and,25.png,two thousand and thirty,three thousand and,True,2003,2030,3000,3000
13,three hundred and six,26.png,three hundred and,27.png,three hundred and sixty,three hundred and twenty,True,306,360,300,320
14,seven,28.png,one,29.png,eighteen,one,True,7,18,1,1
15,five,30.png,five hundred,31.png,eight,eight,True,5,8,500,8
16,five hundred,32.png,five hundred and,33.png,five thousand,five hundred and twenty,True,500,5000,500,520
17,thirty six,34.png,one hundred and,35.png,five hundred and nine,five hundred,False,36,509,100,500
18,forty two,36.png,four hundred and,37.png,four hundred and twenty,four hundred and,True,42,420,400,400
19,twenty seven,38.png,one hundred,39.png,two hundred and seven,two hundred and,True,27,207,100,200
20,six hundred and eight,40.png,five hundred and,41.png,six hundred and fifty eight,two hundred and twenty,True,608,658,500,220
21,seventeen,42.png,one hundred,43.png,twenty eight,two hundred,True,17,28,100,200
22,five hundred and sixty seven,44.png,five hundred and and,45.png,five hundred and seventy six,three hundred and and,True,567,576,500,300
23,one,46.png,one,47.png,nine,one,True,1,9,1,1
