,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct
0,two hundred six,0.png,two hundred sixty,1.png,two hundred sixty,two hundred sixty,True
1,one hundred,2.png,six hundred,3.png,one thousand,one thousand,False
2,sixty seven,4.png,two,5.png,six hundred seventy,six hundred seventy,True
3,one thousand two,6.png,one thousand two,7.png,one thousand twenty,one thousand two,False
4,twenty one,8.png,one hundred,9.png,two hundred one,two hundred two,True
5,one hundred five,10.png,one hundred five,11.png,one hundred twenty five,one hundred twenty,True
6,three hundred five,12.png,three hundred,13.png,three hundred fifty,three hundred fifty,False
7,forty two,14.png,four hundred,15.png,four hundred two,four hundred two,True
8,five,16.png,five,17.png,fifteen,fifteen,True
9,eleven,18.png,one hundred,19.png,twenty four,twenty four,False
10,two,20.png,two,21.png,eight,eight,True
11,twenty five,22.png,three,23.png,four hundred five,four hundred five,True
12,sixty two,24.png,two hundred,25.png,six hundred two,six hundred two,True
13,twenty one,26.png,one hundred,27.png,two hundred ten,two hundred,True
14,twenty four,28.png,twenty four,29.png,two hundred four,two hundred twenty,True
15,seventeen,30.png,one,31.png,twenty one,one hundred,True
16,thirty five,32.png,thirty,33.png,three hundred five,three hundred,True
17,forty seven,34.png,four,35.png,four hundred seventy,four hundred seventy,True
18,nineteen,36.png,nineteen,37.png,one hundred nine,one hundred,True
19,sixteen,38.png,sixteen,39.png,one hundred six,one hundred twenty,True
20,fifty three,40.png,thirty,41.png,eighty,eighty,True
21,two hundred sixteen,42.png,one hundred twenty,43.png,two hundred sixty one,two hundred twenty,False
22,four hundred twelve,44.png,one hundred twenty,45.png,four hundred twenty one,four hundred twenty one,False
23,six,46.png,six,47.png,thirteen,fifteen,True
