,Image,Label,Prediction,Word_num,Left_score,Right_score
0,0.png,seventy eight,ten ten ten twelve twelve twelve hundred forty thousand,0,0.45458792860063124,0.5454120713993689
1,0.png,seventy eight,ten ten ten twelve twelve twelve hundred forty thousand,1,0.45458792860063124,0.5454120713993689
2,0.png,seventy eight,ten ten ten twelve twelve twelve hundred forty thousand,2,0.45458792860063124,0.5454120713993689
3,0.png,seventy eight,ten ten ten twelve twelve twelve hundred forty thousand,3,0.545410937449723,0.4545890625502769
4,0.png,seventy eight,ten ten ten twelve twelve twelve hundred forty thousand,4,0.545410937449723,0.4545890625502769
5,0.png,seventy eight,ten ten ten twelve twelve twelve hundred forty thousand,5,0.545410937449723,0.4545890625502769
6,0.png,seventy eight,ten ten ten twelve twelve twelve hundred forty thousand,6,0.45001352295162034,0.5499864770483798
7,0.png,seventy eight,ten ten ten twelve twelve twelve hundred forty thousand,7,0.45237597129818663,0.5476240287018135
8,0.png,seventy eight,ten ten ten twelve twelve twelve hundred forty thousand,8,0.4523928268274583,0.5476071731725417
9,1.png,eight hundred seven,eight ten ten ten twelve twelve fifteen fifteen hundred thousand thousand thousand,0,0.5418523059818341,0.45814769401816574
10,1.png,eight hundred seven,eight ten ten ten twelve twelve fifteen fifteen hundred thousand thousand thousand,1,0.5418523059818341,0.45814769401816574
11,1.png,eight hundred seven,eight ten ten ten twelve twelve fifteen fifteen hundred thousand thousand thousand,2,0.5418523059818341,0.45814769401816574
12,1.png,eight hundred seven,eight ten ten ten twelve twelve fifteen fifteen hundred thousand thousand thousand,3,0.5418523059818341,0.45814769401816574
13,1.png,eight hundred seven,eight ten ten ten twelve twelve fifteen fifteen hundred thousand thousand thousand,4,0.4757123808865482,0.5242876191134516
14,1.png,eight hundred seven,eight ten ten ten twelve twelve fifteen fifteen hundred thousand thousand thousand,5,0.4757123808865482,0.5242876191134516
15,1.png,eight hundred seven,eight ten ten ten twelve twelve fifteen fifteen hundred thousand thousand thousand,6,0.48031317806306983,0.51968682193693
16,1.png,eight hundred seven,eight ten ten ten twelve twelve fifteen fifteen hundred thousand thousand thousand,7,0.48031317806306983,0.51968682193693
17,1.png,eight hundred seven,eight ten ten ten twelve twelve fifteen fifteen hundred thousand thousand thousand,8,0.5292466503025334,0.4707533496974667
18,1.png,eight hundred seven,eight ten ten ten twelve twelve fifteen fifteen hundred thousand thousand thousand,9,0.5342433340556555,0.4657566659443445
19,1.png,eight hundred seven,eight ten ten ten twelve twelve fifteen fifteen hundred thousand thousand thousand,10,0.5342433340556555,0.4657566659443445
20,1.png,eight hundred seven,eight ten ten ten twelve twelve fifteen fifteen hundred thousand thousand thousand,11,0.5342433340556555,0.4657566659443445
21,10.png,four hundred,fifty ten seventy twelve twelve twelve ninety thousand thousand,0,0.4781686414578434,0.5218313585421567
22,10.png,four hundred,fifty ten seventy twelve twelve twelve ninety thousand thousand,1,0.4781686414578434,0.5218313585421567
