,,Time_0,Time_1
five,<pad>,-0.18716346,-0.17678212
five,one,-0.18552655,-0.17677636
five,two,-0.18152851,-0.17677635
five,three,0.029487453,-0.17676815
five,four,-0.18430771,-0.17677902
five,five,5.652875,-0.17671348
five,six,-0.18228862,-0.17678122
five,seven,-0.18432333,-0.17678156
five,eight,-0.18427494,-0.17677853
five,nine,-0.18603146,-0.17678216
five,ten,-0.18711631,-0.17678171
five,eleven,-0.18725729,-0.17678204
five,twelve,-0.1870758,-0.176782
five,thirteen,-0.18684083,-0.17678072
five,fourteen,-0.18183598,-0.17678173
five,fifteen,-0.18286628,-0.17677355
five,sixteen,-0.18584448,-0.17677794
five,seventeen,-0.18686922,-0.1767815
five,eighteen,-0.18706018,-0.176782
five,nineteen,-0.18641791,-0.17678204
five,twenty,-0.1847995,-0.17678127
five,thirty,-0.17568548,-0.17677781
five,forty,-0.18458222,-0.17677988
five,fifty,-0.18638259,-0.17676726
five,sixty,-0.18075746,-0.17677547
five,seventy,-0.18391949,-0.17677972
five,eighty,-0.18351671,-0.17678103
five,ninety,-0.18727663,-0.17678185
five,hundred,-0.18689361,-0.17676444
five,thousand,-0.18401884,-0.17677747
five,<unk>,-0.18711923,-0.17678206
five,<start>,-0.18713258,-0.17678203
five,<end>,-0.13564958,5.6568546
fifteen,<pad>,-0.26080495,-0.1776646
fifteen,one,-0.0027622324,-0.17714761
fifteen,two,-0.2419371,-0.17759761
fifteen,three,0.44020382,-0.17718743
fifteen,four,-0.21024384,-0.17702387
fifteen,five,0.6282701,-0.17646748
fifteen,six,-0.24722816,-0.17762718
fifteen,seven,-0.19886978,-0.17758329
fifteen,eight,-0.25555268,-0.17760274
fifteen,nine,-0.2545752,-0.17766155
fifteen,ten,-0.2608396,-0.17765003
fifteen,eleven,-0.2610675,-0.17765504
fifteen,twelve,-0.26114106,-0.17766263
fifteen,thirteen,-0.2521962,-0.17758171
fifteen,fourteen,-0.21216613,-0.17763191
fifteen,fifteen,5.549912,-0.16750939
fifteen,sixteen,-0.22742407,-0.17756788
fifteen,seventeen,-0.25951648,-0.17762543
fifteen,eighteen,-0.26088136,-0.17764843
fifteen,nineteen,-0.15688957,-0.17752372
fifteen,twenty,-0.14543515,-0.17727573
fifteen,thirty,0.03943942,-0.17716794
fifteen,forty,-0.22370657,-0.17733034
fifteen,fifty,-0.25715795,-0.17622158
fifteen,sixty,-0.25305057,-0.17752974
fifteen,seventy,-0.2013844,-0.17756724
fifteen,eighty,-0.2523552,-0.17765608
fifteen,ninety,-0.2613199,-0.17763616
fifteen,hundred,-0.22297148,-0.16604716
fifteen,thousand,-0.25352803,-0.17746101
fifteen,<unk>,-0.26134744,-0.1776618
fifteen,<start>,-0.26066533,-0.17766124
fifteen,<end>,-0.2408074,5.6568356
