,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,thirty ninety,9,1.png,eight hundred seven,<pad> <pad> <pad>,16,1
1,sixty four,2.png,four ninety,11,3.png,six hundred four,<pad> <pad> <pad>,16,1
2,eighty five,4.png,thirty ninety,8,5.png,eight hundred fifty,<pad> one fifty,12,1
3,thirty six,6.png,four ninety,10,7.png,three hundred six,<pad> <pad> <pad>,16,1
4,twelve,8.png,eleven,4,9.png,twenty two,four ninety,10,1
5,four hundred,10.png,<pad> fifty,12,11.png,four thousand,<pad> <pad>,11,0
6,seventy six,12.png,four ninety,11,13.png,seven hundred sixty,one one ninety,11,0
7,thirty one,14.png,eleven eleven,11,15.png,three hundred one,four <pad> <pad>,14,1
8,eighty nine,16.png,thirty ninety,6,17.png,eight hundred nine,<pad> <pad> <pad>,16,1
9,three hundred seven,18.png,one <pad> <pad>,15,19.png,three hundred sixty seven,one <pad> <pad> <pad>,18,1
10,thirteen,20.png,four,7,21.png,forty two,one <pad>,9,1
11,five hundred eight,22.png,<pad> <pad> <pad>,16,23.png,five hundred eighty,<pad> <pad> <pad>,16,0
12,two thousand three,24.png,four <pad> fifty,15,25.png,two thousand thirty,one one one,13,0
13,three hundred six,26.png,<pad> <pad> <pad>,15,27.png,three hundred sixty,one <pad> <pad>,14,0
14,seven,28.png,eleven,2,29.png,eighteen,eleven,2,0
15,five,30.png,four,3,31.png,eight,thirty,5,1
16,five hundred,32.png,four <pad>,9,33.png,five thousand,<pad> <pad>,11,1
17,thirty six,34.png,four ninety,10,35.png,five hundred nine,<pad> <pad> <pad>,16,1
18,forty two,36.png,one <pad>,9,37.png,four hundred twenty,one fifty fifty,11,1
19,twenty seven,38.png,<unk> ninety,10,39.png,two hundred seven,one fifty fifty,11,1
20,six hundred eight,40.png,<pad> <pad> <pad>,16,41.png,six hundred fifty eight,<pad> <pad> <pad> ninety,18,1
21,seventeen,42.png,<unk>,8,43.png,twenty eight,thirty thirty,12,1
22,five hundred sixty seven,44.png,one <pad> <pad> <pad>,19,45.png,five hundred seventy six,one one ninety ninety,16,0
23,one,46.png,eleven,5,47.png,nine,four,3,0
