,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,one <start> twelve,15,1.png,two hundred sixty,one <start> twelve,15,0
1,one hundred,2.png,one <start>,6,3.png,one thousand,one <start>,6,0
2,sixty seven,4.png,one <start>,11,5.png,six hundred seventy,one <start> twelve,13,1
3,one thousand two,6.png,one <start> twelve,12,7.png,one thousand twenty,one twelve twelve,11,0
4,twenty one,8.png,<start> <start>,13,9.png,two hundred one,one <start> twelve,14,1
5,one hundred five,10.png,<start> <start> twelve,17,11.png,one hundred twenty five,<start> <start> twelve twelve,23,1
6,three hundred five,12.png,<start> one twelve,14,13.png,three hundred fifty,<start> twelve twelve,15,1
7,forty two,14.png,three five,8,15.png,four hundred two,<start> <start> twelve,17,1
8,five,16.png,<start>,7,17.png,fifteen,<start>,7,0
9,eleven,18.png,three,5,19.png,twenty four,<start> five,11,1
10,two,20.png,<start>,6,21.png,eight,<start>,6,0
11,twenty five,22.png,<start> <start>,13,23.png,four hundred five,<start> <start> twelve,17,1
12,sixty two,24.png,<start> <start>,11,25.png,six hundred two,one <start> twelve,13,1
13,twenty one,26.png,<start> <start>,13,27.png,two hundred ten,one <start> twelve,14,1
14,twenty four,28.png,<start> five,9,29.png,two hundred four,one <start> twelve,15,1
15,seventeen,30.png,three,7,31.png,twenty one,<start> <start>,13,1
16,thirty five,32.png,<start> <start>,12,33.png,three hundred five,<start> one twelve,13,1
17,forty seven,34.png,one one,8,35.png,four hundred seventy,<start> <start> twelve,16,1
18,nineteen,36.png,<start>,8,37.png,one hundred nine,one five twelve,10,1
19,sixteen,38.png,<start>,7,39.png,one hundred six,one <start> twelve,15,1
20,fifty three,40.png,<start> <start>,11,41.png,eighty,one,10,0
21,two hundred sixteen,42.png,one <start> twelve,15,43.png,two hundred sixty one,one five twelve twelve,19,1
22,four hundred twelve,44.png,<start> <start> twelve,12,45.png,four hundred twenty one,<start> five twelve twelve,16,1
23,six,46.png,<start>,6,47.png,thirteen,<start>,6,0
