,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,<pad> <pad> four,15,1.png,two hundred sixty,<pad> <pad> four,15,0
1,one hundred,2.png,<pad> <pad>,11,3.png,one thousand,<pad> <end>,10,0
2,sixty seven,4.png,<end> <end>,9,5.png,six hundred seventy,<pad> <end> thirteen,16,1
3,one thousand two,6.png,<pad> <end> <end>,16,7.png,one thousand twenty,<pad> <pad> <pad>,16,0
4,twenty one,8.png,<end> <end>,8,9.png,two hundred one,<pad> <end> four,12,1
5,one hundred five,10.png,<pad> <pad> four,14,11.png,one hundred twenty five,<end> <pad> <pad> <pad>,18,1
6,three hundred five,12.png,fourteen <pad> <pad>,16,13.png,three hundred fifty,<pad> <pad> <pad>,16,0
7,forty two,14.png,<end> <end>,10,15.png,four hundred two,<pad> <pad> <pad>,16,1
8,five,16.png,<end>,5,17.png,fifteen,<end>,5,0
9,eleven,18.png,<end>,5,19.png,twenty four,<end> <end>,8,1
10,two,20.png,<end>,5,21.png,eight,<end>,5,0
11,twenty five,22.png,<end> <end>,9,23.png,four hundred five,<pad> <pad> <pad>,16,1
12,sixty two,24.png,<end> <end>,10,25.png,six hundred two,<pad> <pad> four,14,1
13,twenty one,26.png,<end> <end>,8,27.png,two hundred ten,<pad> <pad> thirteen,18,1
14,twenty four,28.png,<end> <end>,9,29.png,two hundred four,<pad> <pad> thirteen,18,1
15,seventeen,30.png,<end>,7,31.png,twenty one,<end> <end>,8,1
16,thirty five,32.png,forty <end>,8,33.png,three hundred five,fourteen <pad> <pad>,17,1
17,forty seven,34.png,<end> thirteen,11,35.png,four hundred seventy,<end> thirteen thirteen,18,1
18,nineteen,36.png,<end>,7,37.png,one hundred nine,fourteen <pad> four,15,1
19,sixteen,38.png,<end>,7,39.png,one hundred six,<pad> <pad> four,16,1
20,fifty three,40.png,forty four,7,41.png,eighty,thirty,9,1
21,two hundred sixteen,42.png,<pad> <pad> thirteen,14,43.png,two hundred sixty one,<end> <end> four four,18,1
22,four hundred twelve,44.png,<end> <end> <end>,15,45.png,four hundred twenty one,<end> <end> <end> <end>,17,1
23,six,46.png,<end>,5,47.png,thirteen,<end>,5,0
