,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,seventy seventy,5,1.png,eight hundred seven,three seventy <unk>,11,1
1,sixty four,2.png,seventy seventy,11,3.png,six hundred four,three three seventy,17,1
2,eighty five,4.png,seventy seventy,9,5.png,eight hundred fifty,three seventy seventy,15,1
3,thirty six,6.png,three seventy,9,7.png,three hundred six,three seventy seventy,15,1
4,twelve,8.png,three,4,9.png,twenty two,three three,8,1
5,four hundred,10.png,three seventy,12,11.png,four thousand,three seventy,12,0
6,seventy six,12.png,three seventy,10,13.png,seven hundred sixty,three three three,14,1
7,thirty one,14.png,three seventy,9,15.png,three hundred one,three seventy seventy,15,1
8,eighty nine,16.png,nine seventy,10,17.png,eight hundred nine,nine seventy seventy,15,1
9,three hundred seven,18.png,three seventy seventy,9,19.png,three hundred sixty seven,three seventy seventy seventy,15,1
10,thirteen,20.png,three,3,21.png,forty two,seventy seventy,11,1
11,five hundred eight,22.png,nine seventy seventy,14,23.png,five hundred eighty,three seventy seventy,16,1
12,two thousand three,24.png,three three three,10,25.png,two thousand thirty,three three three,10,0
13,three hundred six,26.png,three seventy seventy,13,27.png,three hundred sixty,three seventy seventy,13,0
14,seven,28.png,eleven,2,29.png,eighteen,seventy,2,0
15,five,30.png,seventy,5,31.png,eight,three,4,0
16,five hundred,32.png,three seventy,11,33.png,five thousand,seventy seventy,12,1
17,thirty six,34.png,three seventy,9,35.png,five hundred nine,three seventy seventy,15,1
18,forty two,36.png,seventy seventy,12,37.png,four hundred twenty,three three three,13,1
19,twenty seven,38.png,three seventy,7,39.png,two hundred seven,three three three,12,1
20,six hundred eight,40.png,nine seventy seventy,15,41.png,six hundred fifty eight,nine seventy seventy seventy,21,1
21,seventeen,42.png,three,7,43.png,twenty eight,three three,8,1
22,five hundred sixty seven,44.png,three seventy seventy seventy,17,45.png,five hundred seventy six,three seventy seventy seventy,17,0
23,one,46.png,seventy,6,47.png,nine,three,4,0
