,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,nineteen ninety ninety,18,1.png,two hundred sixty,fourteen ninety ninety,18,0
1,one hundred,2.png,fourteen ninety,11,3.png,one thousand,ninety ninety,9,0
2,sixty seven,4.png,nineteen nineteen,11,5.png,six hundred seventy,<pad> ninety ninety,14,1
3,one thousand two,6.png,ninety ninety ninety,16,7.png,one thousand twenty,fourteen ninety ninety,18,1
4,twenty one,8.png,nineteen nineteen,13,9.png,two hundred one,nineteen nineteen ninety,17,1
5,one hundred five,10.png,fourteen <pad> ninety,15,11.png,one hundred twenty five,nineteen nineteen nineteen ninety,25,1
6,three hundred five,12.png,nineteen nineteen nineteen,18,13.png,three hundred fifty,nineteen nineteen nineteen,18,0
7,forty two,14.png,nineteen nineteen,14,15.png,four hundred two,nineteen nineteen ninety,21,1
8,five,16.png,<pad>,5,17.png,fifteen,<pad>,5,0
9,eleven,18.png,nineteen,5,19.png,twenty four,nineteen nineteen,13,1
10,two,20.png,<pad>,5,21.png,eight,four,4,0
11,twenty five,22.png,<pad> <pad>,11,23.png,four hundred five,nineteen nineteen nineteen,19,1
12,sixty two,24.png,<pad> <pad>,10,25.png,six hundred two,nineteen ninety ninety,18,1
13,twenty one,26.png,nineteen nineteen,13,27.png,two hundred ten,fourteen ninety ninety,14,1
14,twenty four,28.png,nineteen nineteen,14,29.png,two hundred four,nineteen nineteen nineteen,21,1
15,seventeen,30.png,one,7,31.png,twenty one,nineteen nineteen,10,1
16,thirty five,32.png,nineteen nineteen,13,33.png,three hundred five,nineteen nineteen nineteen,20,1
17,forty seven,34.png,nineteen nineteen,12,35.png,four hundred seventy,nineteen nineteen nineteen,21,1
18,nineteen,36.png,<pad>,8,37.png,one hundred nine,fourteen ninety ninety,16,1
19,sixteen,38.png,<pad>,7,39.png,one hundred six,fourteen ninety ninety,18,1
20,fifty three,40.png,nineteen nineteen,12,41.png,eighty,fourteen,8,0
21,two hundred sixteen,42.png,nineteen ninety ninety,18,43.png,two hundred sixty one,nineteen nineteen five ninety,22,1
22,four hundred twelve,44.png,nineteen nineteen nineteen,20,45.png,four hundred twenty one,nineteen nineteen nineteen ninety,26,1
23,six,46.png,<pad>,5,47.png,thirteen,<pad>,5,0
