,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,<start> <start>,12,1.png,eight hundred seven,<start> <start> <start>,19,1
1,sixty four,2.png,<start> <start>,11,3.png,six hundred four,<start> <start> <start>,19,1
2,eighty five,4.png,<start> <start>,13,5.png,eight hundred fifty,<start> <start> <start>,21,1
3,thirty six,6.png,<start> <start>,11,7.png,three hundred six,<start> <start> <start>,18,1
4,twelve,8.png,<start>,7,9.png,twenty two,<start> <start>,14,1
5,four hundred,10.png,<start> <start>,12,11.png,four thousand,<start> <start>,12,0
6,seventy six,12.png,<start> <start>,12,13.png,seven hundred sixty,<start> <start> <start>,19,1
7,thirty one,14.png,<start> <start>,12,15.png,three hundred one,<start> <start> <start>,19,1
8,eighty nine,16.png,<start> <start>,13,17.png,eight hundred nine,<start> <start> thousand,21,1
9,three hundred seven,18.png,<start> <start> <start>,17,19.png,three hundred sixty seven,<start> four nine nine,16,0
10,thirteen,20.png,<start>,7,21.png,forty two,<start> <start>,13,1
11,five hundred eight,22.png,<start> <start> thousand,21,23.png,five hundred eighty,<start> <start> <start>,19,0
12,two thousand three,24.png,<start> <start> <start>,17,25.png,two thousand thirty,<start> <start> <start>,17,0
13,three hundred six,26.png,<start> <start> <start>,17,27.png,three hundred sixty,<start> <start> <start>,17,0
14,seven,28.png,<unk>,5,29.png,eighteen,<start>,6,1
15,five,30.png,<start>,7,31.png,eight,<start>,7,0
16,five hundred,32.png,<start> <start>,13,33.png,five thousand,<start> <start>,13,0
17,thirty six,34.png,<start> <start>,11,35.png,five hundred nine,<start> <start> <start>,18,1
18,forty two,36.png,<start> <start>,11,37.png,four hundred twenty,<start> <start> <start>,19,1
19,twenty seven,38.png,<start> <start>,12,39.png,two hundred seven,<start> <start> <start>,19,1
20,six hundred eight,40.png,<start> <start> thousand,20,41.png,six hundred fifty eight,<start> <start> thousand thousand,27,1
21,seventeen,42.png,nine,7,43.png,twenty eight,<start> <start>,13,1
22,five hundred sixty seven,44.png,<start> <start> <start> thousand,25,45.png,five hundred seventy six,<start> <start> <start> <start>,24,0
23,one,46.png,<unk>,4,47.png,nine,<start>,7,1
