,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,thirteen four,13,1.png,eight hundred seven,eighteen four four,16,1
1,sixty four,2.png,thirteen four,6,3.png,six hundred four,eighteen four four,11,1
2,eighty five,4.png,thirteen forty,11,5.png,eight hundred fifty,thirteen four four,15,1
3,thirty six,6.png,seventeen four,12,7.png,three hundred six,eighteen four four,16,1
4,twelve,8.png,seventeen,7,9.png,twenty two,seventeen four,12,1
5,four hundred,10.png,eighteen four,12,11.png,four thousand,thirteen four,11,0
6,seventy six,12.png,seventeen four,7,13.png,seven hundred sixty,eighteen four four,15,1
7,thirty one,14.png,thirteen four,6,15.png,three hundred one,eighteen four four,15,1
8,eighty nine,16.png,thirteen four,11,17.png,eight hundred nine,eighteen four four,12,1
9,three hundred seven,18.png,eighteen four four,16,19.png,three hundred sixty seven,thirteen eighteen four four,19,1
10,thirteen,20.png,thirteen,0,21.png,forty two,thirteen seventeen,10,1
11,five hundred eight,22.png,eighteen four four,16,23.png,five hundred eighty,eighteen forty four,16,0
12,two thousand three,24.png,eighteen four four,17,25.png,two thousand thirty,eighteen four four,17,0
13,three hundred six,26.png,eighteen four four,15,27.png,three hundred sixty,eighteen four four,15,0
14,seven,28.png,thirteen,6,29.png,eighteen,thirteen,6,0
15,five,30.png,seventeen,7,31.png,eight,eighteen,6,0
16,five hundred,32.png,eighteen four,11,33.png,five thousand,eighteen forty,11,0
17,thirty six,34.png,seventeen four,12,35.png,five hundred nine,eighteen eighteen four,18,1
18,forty two,36.png,thirteen seventeen,14,37.png,four hundred twenty,thirteen four four,14,0
19,twenty seven,38.png,thirteen four,11,39.png,two hundred seven,eighteen four four,15,1
20,six hundred eight,40.png,seventeen four four,17,41.png,six hundred fifty eight,thirteen four four four,20,1
21,seventeen,42.png,thirteen,5,43.png,twenty eight,seventeen four,5,0
22,five hundred sixty seven,44.png,eighteen eighteen four four,23,45.png,five hundred seventy six,seventeen four four four,21,0
23,one,46.png,thirteen,7,47.png,nine,seventeen,7,0
