,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,<unk> eighteen eighteen,19,1.png,two hundred sixty,twenty eighteen eighteen,18,0
1,one hundred,2.png,two eighteen,10,3.png,one thousand,two eighteen,10,0
2,sixty seven,4.png,<unk> twenty,10,5.png,six hundred seventy,two twenty eighteen,14,1
3,one thousand two,6.png,two eighteen eighteen,17,7.png,one thousand twenty,two eighteen eighteen,17,0
4,twenty one,8.png,<unk> eighteen,12,9.png,two hundred one,two eighteen eighteen,15,1
5,one hundred five,10.png,two eighteen eighteen,16,11.png,one hundred twenty five,two eighteen eighteen eighteen,22,1
6,three hundred five,12.png,<unk> <unk> eighteen,15,13.png,three hundred fifty,<unk> <unk> eighteen,15,0
7,forty two,14.png,two thirteen,9,15.png,four hundred two,two fifty thirteen,13,1
8,five,16.png,<unk>,5,17.png,fifteen,two,4,0
9,eleven,18.png,<unk>,6,19.png,twenty four,two thirteen,10,1
10,two,20.png,two,0,21.png,eight,<unk>,5,1
11,twenty five,22.png,two eighteen,9,23.png,four hundred five,two fifty thirteen,11,1
12,sixty two,24.png,two eighteen,11,25.png,six hundred two,<unk> eighteen eighteen,19,1
13,twenty one,26.png,<unk> eighteen,12,27.png,two hundred ten,two eighteen eighteen,15,1
14,twenty four,28.png,two thirteen,9,29.png,two hundred four,two eighteen thirteen,15,1
15,seventeen,30.png,<end>,7,31.png,twenty one,<unk> eighteen,9,1
16,thirty five,32.png,two <unk>,10,33.png,three hundred five,<unk> <unk> eighteen,17,1
17,forty seven,34.png,<end> thirteen,11,35.png,four hundred seventy,two fifty thirteen,12,1
18,nineteen,36.png,<unk>,7,37.png,one hundred nine,<unk> eighteen eighteen,15,1
19,sixteen,38.png,<unk>,7,39.png,one hundred six,<unk> eighteen eighteen,18,1
20,fifty three,40.png,<unk> <unk>,10,41.png,eighty,<unk>,11,1
21,two hundred sixteen,42.png,two eighteen eighteen,10,43.png,two hundred sixty one,two eighteen eighteen eighteen,17,1
22,four hundred twelve,44.png,two thirteen thirteen,16,45.png,four hundred twenty one,two eighteen thirteen thirteen,22,1
23,six,46.png,<unk>,5,47.png,thirteen,two,3,0
