,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,thousand seven,13,1.png,eight hundred seven,seven seven seven,11,0
1,sixty four,2.png,thousand thousand,14,3.png,six hundred four,seven seven seven,15,1
2,eighty five,4.png,thousand seven,11,5.png,eight hundred fifty,seven seven seven,13,1
3,thirty six,6.png,thousand seven,10,7.png,three hundred six,seven seven seven,15,1
4,twelve,8.png,thousand,7,9.png,twenty two,thousand thousand,16,1
5,four hundred,10.png,seven seven,11,11.png,four thousand,seven seven,11,0
6,seventy six,12.png,thousand thousand,14,13.png,seven hundred sixty,seven seven seven,10,0
7,thirty one,14.png,thousand thousand,12,15.png,three hundred one,seven seven seven,15,1
8,eighty nine,16.png,thousand seven,12,17.png,eight hundred nine,seven seven seven,14,1
9,three hundred seven,18.png,seven seven seven,10,19.png,three hundred sixty seven,thousand thousand five five,18,1
10,thirteen,20.png,thousand,6,21.png,forty two,thousand thousand,13,1
11,five hundred eight,22.png,thousand seven seven,17,23.png,five hundred eighty,thousand seven seven,17,0
12,two thousand three,24.png,seven seven seven,15,25.png,two thousand thirty,seven seven seven,15,0
13,three hundred six,26.png,seven seven seven,14,27.png,three hundred sixty,seven seven seven,14,0
14,seven,28.png,thousand,7,29.png,eighteen,thousand,7,0
15,five,30.png,eighteen,6,31.png,eight,thousand,8,1
16,five hundred,32.png,seven seven,9,33.png,five thousand,seven seven,9,0
17,thirty six,34.png,thousand seven,10,35.png,five hundred nine,seven seven seven,15,1
18,forty two,36.png,thousand thousand,13,37.png,four hundred twenty,thousand seven seven,18,1
19,twenty seven,38.png,thousand thousand,14,39.png,two hundred seven,seven seven seven,9,0
20,six hundred eight,40.png,seven seven seven,14,41.png,six hundred fifty eight,thousand seven seven seven,21,1
21,seventeen,42.png,thousand,9,43.png,twenty eight,thousand seven,10,1
22,five hundred sixty seven,44.png,thousand seven seven seven,16,45.png,five hundred seventy six,thousand seven seven seven,16,0
23,one,46.png,thousand,6,47.png,nine,thousand,6,0
