,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,thirty sixteen sixteen,15,1.png,two hundred sixty,thirty sixteen sixteen,15,0
1,one hundred,2.png,thirty fourteen,12,3.png,one thousand,thirty sixteen,12,0
2,sixty seven,4.png,fifty three,6,5.png,six hundred seventy,thirty sixteen sixteen,14,1
3,one thousand two,6.png,thirty sixteen sixteen,19,7.png,one thousand twenty,thirty sixteen sixteen,19,0
4,twenty one,8.png,fifty fifty,9,9.png,two hundred one,fifty sixteen sixteen,17,1
5,one hundred five,10.png,fifty fifty fifteen,15,11.png,one hundred twenty five,fifty fifty sixteen fifteen,21,1
6,three hundred five,12.png,thirty sixteen sixteen,14,13.png,three hundred fifty,thirty sixteen sixteen,14,0
7,forty two,14.png,fifty sixteen,8,15.png,four hundred two,fifty sixteen sixteen,16,1
8,five,16.png,fifty,3,17.png,fifteen,fifty,3,0
9,eleven,18.png,fifty,6,19.png,twenty four,fifty sixteen,11,1
10,two,20.png,fifty,5,21.png,eight,fifty,5,0
11,twenty five,22.png,fifty three,8,23.png,four hundred five,fifty sixteen fifteen,15,1
12,sixty two,24.png,fifty three,6,25.png,six hundred two,thirty sixteen sixteen,16,1
13,twenty one,26.png,fifty fifty,9,27.png,two hundred ten,thirty fourteen fourteen,17,1
14,twenty four,28.png,fifty sixteen,11,29.png,two hundred four,fifty sixteen sixteen,18,1
15,seventeen,30.png,fifty,8,31.png,twenty one,fifty fifty,11,1
16,thirty five,32.png,fifty three,7,33.png,three hundred five,thirty sixteen sixteen,13,1
17,forty seven,34.png,fifty three,6,35.png,four hundred seventy,fifty sixteen fifteen,13,1
18,nineteen,36.png,fifty,6,37.png,one hundred nine,thirty sixteen sixteen,16,1
19,sixteen,38.png,fifty,5,39.png,one hundred six,thirty sixteen sixteen,15,1
20,fifty three,40.png,fifty three,0,41.png,eighty,fifty,6,1
21,two hundred sixteen,42.png,thirty sixteen sixteen,11,43.png,two hundred sixty one,fifty sixteen sixteen sixteen,18,1
22,four hundred twelve,44.png,fifty sixteen sixteen,16,45.png,four hundred twenty one,fifty sixteen sixteen fifteen,22,1
23,six,46.png,fifty,4,47.png,thirteen,fifty,4,0
