,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,ninety ninety,8,1.png,eight hundred seven,ninety thousand thousand,20,1
1,sixty four,2.png,ninety ninety,9,3.png,six hundred four,ninety ninety ninety,16,1
2,eighty five,4.png,ninety ninety,7,5.png,eight hundred fifty,ninety thousand thousand,20,1
3,thirty six,6.png,ninety ninety,9,7.png,three hundred six,ninety ninety ninety,14,1
4,twelve,8.png,ninety,6,9.png,twenty two,ninety ninety,11,1
5,four hundred,10.png,ninety ninety,11,11.png,four thousand,ninety ninety,11,0
6,seventy six,12.png,ninety ninety,9,13.png,seven hundred sixty,ninety ninety ninety,14,1
7,thirty one,14.png,ninety ninety,8,15.png,three hundred one,ninety ninety ninety,13,1
8,eighty nine,16.png,ninety thousand,10,17.png,eight hundred nine,ninety thousand thousand,18,1
9,three hundred seven,18.png,ninety ninety ninety,16,19.png,three hundred sixty seven,ninety ninety ninety ninety,21,1
10,thirteen,20.png,ninety,6,21.png,forty two,ninety ninety,11,1
11,five hundred eight,22.png,ninety thousand thousand,17,23.png,five hundred eighty,ninety thousand thousand,17,0
12,two thousand three,24.png,ninety ninety thousand,18,25.png,two thousand thirty,ninety ninety thousand,18,0
13,three hundred six,26.png,ninety ninety ninety,16,27.png,three hundred sixty,ninety ninety ninety,16,0
14,seven,28.png,ninety,5,29.png,eighteen,ninety,5,0
15,five,30.png,ninety,4,31.png,eight,three,4,0
16,five hundred,32.png,ninety ninety,9,33.png,five thousand,ninety thousand,10,1
17,thirty six,34.png,ninety ninety,9,35.png,five hundred nine,ninety ninety ninety,14,1
18,forty two,36.png,ninety ninety,10,37.png,four hundred twenty,ninety ninety ninety,16,1
19,twenty seven,38.png,ninety ninety,9,39.png,two hundred seven,ninety ninety ninety,14,1
20,six hundred eight,40.png,ninety thousand thousand,18,41.png,six hundred fifty eight,ninety thousand thousand thousand,25,1
21,seventeen,42.png,ninety,7,43.png,twenty eight,ninety thousand,12,1
22,five hundred sixty seven,44.png,ninety ninety ninety ninety,17,45.png,five hundred seventy six,ninety ninety thousand thousand,24,1
23,one,46.png,ninety,4,47.png,nine,ninety,4,0
