,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,hundred hundred,14,1.png,eight hundred seven,eleven hundred hundred,16,1
1,sixty four,2.png,hundred hundred,13,3.png,six hundred four,hundred hundred hundred,20,1
2,eighty five,4.png,hundred hundred,13,5.png,eight hundred fifty,hundred hundred hundred,19,1
3,thirty six,6.png,hundred hundred,13,7.png,three hundred six,hundred hundred hundred,20,1
4,twelve,8.png,eleven,4,9.png,twenty two,hundred hundred,13,1
5,four hundred,10.png,eleven hundred,6,11.png,four thousand,five hundred,3,0
6,seventy six,12.png,hundred hundred,14,13.png,seven hundred sixty,hundred hundred hundred,20,1
7,thirty one,14.png,eleven hundred,11,15.png,three hundred one,eleven hundred hundred,17,1
8,eighty nine,16.png,hundred hundred,12,17.png,eight hundred nine,hundred hundred hundred,18,1
9,three hundred seven,18.png,eleven hundred hundred,11,19.png,three hundred sixty seven,eleven thirty thirty thirty,22,1
10,thirteen,20.png,eleven,6,21.png,forty two,hundred five,11,1
11,five hundred eight,22.png,hundred hundred hundred,13,23.png,five hundred eighty,hundred hundred hundred,13,0
12,two thousand three,24.png,hundred hundred hundred,18,25.png,two thousand thirty,hundred hundred hundred,18,0
13,three hundred six,26.png,hundred hundred hundred,12,27.png,three hundred sixty,hundred hundred hundred,12,0
14,seven,28.png,three,4,29.png,eighteen,hundred,6,1
15,five,30.png,hundred,6,31.png,eight,hundred,6,0
16,five hundred,32.png,hundred hundred,6,33.png,five thousand,five hundred,0,0
17,thirty six,34.png,hundred hundred,13,35.png,five hundred nine,hundred hundred hundred,20,1
18,forty two,36.png,hundred five,10,37.png,four hundred twenty,hundred hundred hundred,21,1
19,twenty seven,38.png,thirty thirty,9,39.png,two hundred seven,hundred hundred hundred,19,1
20,six hundred eight,40.png,hundred hundred hundred,14,41.png,six hundred fifty eight,hundred hundred hundred hundred,20,1
21,seventeen,42.png,eleven,5,43.png,twenty eight,hundred hundred,12,1
22,five hundred sixty seven,44.png,hundred hundred hundred hundred,19,45.png,five hundred seventy six,hundred hundred hundred hundred,19,0
23,one,46.png,eleven,5,47.png,nine,seventeen,7,1
