,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,fifteen fifteen fifteen,18,1.png,two hundred sixty,ninety fifteen fifteen,18,0
1,one hundred,2.png,ninety fifteen,10,3.png,one thousand,fifteen fifteen,12,1
2,sixty seven,4.png,ninety fifteen,8,5.png,six hundred seventy,ninety fifteen fifteen,15,1
3,one thousand two,6.png,fifteen fifteen fifteen,19,7.png,one thousand twenty,fifteen fifteen fifteen,19,0
4,twenty one,8.png,four hundred,11,9.png,two hundred one,four fifteen fifteen,16,1
5,one hundred five,10.png,ninety fifteen fifteen,14,11.png,one hundred twenty five,four hundred fifteen fifteen,15,1
6,three hundred five,12.png,ninety fifteen fifteen,15,13.png,three hundred fifty,ninety fifteen fifteen,15,0
7,forty two,14.png,four one,6,15.png,four hundred two,four four four,10,1
8,five,16.png,seventy,5,17.png,fifteen,four,3,0
9,eleven,18.png,four,6,19.png,twenty four,four hundred,11,1
10,two,20.png,ninety,6,21.png,eight,fifteen,6,0
11,twenty five,22.png,nine hundred,11,23.png,four hundred five,ninety hundred hundred,18,1
12,sixty two,24.png,four four,9,25.png,six hundred two,ninety fifteen fifteen,17,1
13,twenty one,26.png,four hundred,11,27.png,two hundred ten,ninety four four,12,1
14,twenty four,28.png,four hundred,12,29.png,two hundred four,four fifteen fifteen,16,1
15,seventeen,30.png,ninety,7,31.png,twenty one,four hundred,10,1
16,thirty five,32.png,nine fifteen,9,33.png,three hundred five,ninety fifteen fifteen,15,1
17,forty seven,34.png,ninety one,8,35.png,four hundred seventy,ninety fifteen fifteen,16,1
18,nineteen,36.png,four,8,37.png,one hundred nine,ninety fifteen fifteen,14,1
19,sixteen,38.png,four,7,39.png,one hundred six,four fifteen fifteen,15,1
20,fifty three,40.png,nine hundred,9,41.png,eighty,ninety,9,0
21,two hundred sixteen,42.png,four four four,16,43.png,two hundred sixty one,four fifteen fifteen fifteen,19,1
22,four hundred twelve,44.png,four hundred one,5,45.png,four hundred twenty one,four hundred one one,5,0
23,six,46.png,four,4,47.png,thirteen,nine,3,0
