,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,fourteen fourteen,15,1.png,eight hundred seven,fourteen fourteen fourteen,21,1
1,sixty four,2.png,fourteen fourteen,11,3.png,six hundred four,fourteen fourteen fourteen,20,1
2,eighty five,4.png,fourteen fourteen,13,5.png,eight hundred fifty,fourteen fourteen fourteen,21,1
3,thirty six,6.png,fourteen fourteen,14,7.png,three hundred six,fourteen fourteen fourteen,22,1
4,twelve,8.png,fifty,6,9.png,twenty two,fifty forty,10,1
5,four hundred,10.png,fourteen fourteen,10,11.png,four thousand,fourteen fourteen,10,0
6,seventy six,12.png,fourteen fourteen,15,13.png,seven hundred sixty,thirty forty forty,15,0
7,thirty one,14.png,fourteen fourteen,12,15.png,three hundred one,fourteen fourteen fourteen,20,1
8,eighty nine,16.png,fourteen fourteen,14,17.png,eight hundred nine,fourteen fourteen fourteen,22,1
9,three hundred seven,18.png,fourteen fourteen fourteen,17,19.png,three hundred sixty seven,fourteen fourteen fourteen fourteen,24,1
10,thirteen,20.png,fourteen,3,21.png,forty two,fifty <start>,11,1
11,five hundred eight,22.png,fourteen fourteen fourteen,19,23.png,five hundred eighty,fourteen fourteen fourteen,19,0
12,two thousand three,24.png,thirty fourteen forty,15,25.png,two thousand thirty,thirty forty forty,14,0
13,three hundred six,26.png,fourteen fourteen fourteen,19,27.png,three hundred sixty,fourteen fourteen fourteen,19,0
14,seven,28.png,<start>,6,29.png,eighteen,fourteen,6,0
15,five,30.png,fourteen,6,31.png,eight,fourteen,6,0
16,five hundred,32.png,fourteen fourteen,12,33.png,five thousand,fourteen fourteen,12,0
17,thirty six,34.png,fourteen fourteen,14,35.png,five hundred nine,fourteen fourteen fourteen,22,1
18,forty two,36.png,fifty <start>,8,37.png,four hundred twenty,fourteen <start> fourteen,18,1
19,twenty seven,38.png,fifty forty,9,39.png,two hundred seven,fourteen fourteen forty,18,1
20,six hundred eight,40.png,fourteen fourteen forty,19,41.png,six hundred fifty eight,fourteen fourteen fourteen fourteen,28,1
21,seventeen,42.png,<start>,8,43.png,twenty eight,thirty fourteen,11,1
22,five hundred sixty seven,44.png,fourteen fourteen fourteen fourteen,25,45.png,five hundred seventy six,fourteen fourteen fourteen fourteen,25,0
23,one,46.png,forty,4,47.png,nine,fourteen,6,1
