,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,forty one one,12,1.png,two hundred sixty,forty one one,12,0
1,one hundred,2.png,forty twenty,11,3.png,one thousand,forty twenty,11,0
2,sixty seven,4.png,forty thirteen,9,5.png,six hundred seventy,forty twenty twenty,13,1
3,one thousand two,6.png,forty one one,13,7.png,one thousand twenty,forty one one,13,0
4,twenty one,8.png,forty one,4,9.png,two hundred one,forty one one,8,1
5,one hundred five,10.png,forty twenty one,14,11.png,one hundred twenty five,forty thirteen fourteen fourteen,23,1
6,three hundred five,12.png,forty thirteen thirteen,16,13.png,three hundred fifty,forty thirteen thirteen,16,0
7,forty two,14.png,thirteen thirteen,13,15.png,four hundred two,forty thirteen one,10,0
8,five,16.png,forty,4,17.png,fifteen,thirteen,6,1
9,eleven,18.png,thirteen,6,19.png,twenty four,thirteen thirteen,14,1
10,two,20.png,ten,2,21.png,eight,ten,2,0
11,twenty five,22.png,forty one,7,23.png,four hundred five,forty forty one,11,1
12,sixty two,24.png,forty nine,7,25.png,six hundred two,forty one one,9,1
13,twenty one,26.png,forty one,4,27.png,two hundred ten,forty one one,8,1
14,twenty four,28.png,thirteen thirteen,13,29.png,two hundred four,forty thirteen one,15,1
15,seventeen,30.png,thirteen,5,31.png,twenty one,forty one,9,1
16,thirty five,32.png,thirteen thirteen,9,33.png,three hundred five,forty thirteen thirteen,15,1
17,forty seven,34.png,thirteen thirteen,12,35.png,four hundred seventy,thirteen thirteen thirteen,20,1
18,nineteen,36.png,forty,7,37.png,one hundred nine,forty twenty twenty,15,1
19,sixteen,38.png,forty,6,39.png,one hundred six,forty one one,10,1
20,fifty three,40.png,forty thirteen,5,41.png,eighty,twenty,10,1
21,two hundred sixteen,42.png,forty one one,15,43.png,two hundred sixty one,forty one one one,16,1
22,four hundred twelve,44.png,thirteen thirteen one,16,45.png,four hundred twenty one,forty thirteen thirteen fourteen,23,1
23,six,46.png,forty,5,47.png,thirteen,thirteen,7,1
