,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,seventeen seventeen two,18,1.png,two hundred sixty,seventeen seventeen two,18,0
1,one hundred,2.png,seventeen seven,12,3.png,one thousand,twelve six,10,0
2,sixty seven,4.png,seventeen seventeen,11,5.png,six hundred seventy,seventeen six six,13,1
3,one thousand two,6.png,twelve six six,13,7.png,one thousand twenty,seven seven eighteen,17,1
4,twenty one,8.png,seventeen six,9,9.png,two hundred one,seventeen seventeen six,17,1
5,one hundred five,10.png,seventeen seventeen six,17,11.png,one hundred twenty five,seventeen seventeen seventeen seventeen,31,1
6,three hundred five,12.png,seventeen seventeen fifty,17,13.png,three hundred fifty,seventeen seventeen fifty,17,0
7,forty two,14.png,seventeen seventeen,16,15.png,four hundred two,seventeen seventeen six,20,1
8,five,16.png,seventeen,7,17.png,fifteen,seventeen,7,0
9,eleven,18.png,seventeen,5,19.png,twenty four,seventeen seventeen,14,1
10,two,20.png,seventeen,8,21.png,eight,seventeen,8,0
11,twenty five,22.png,seventeen seventeen,13,23.png,four hundred five,seventeen seventeen six,17,1
12,sixty two,24.png,seventeen seventeen,15,25.png,six hundred two,seventeen seven two,13,0
13,twenty one,26.png,seventeen six,9,27.png,two hundred ten,seventeen six six,13,1
14,twenty four,28.png,seventeen seventeen,15,29.png,two hundred four,seventeen seventeen seventeen,24,1
15,seventeen,30.png,seventeen,0,31.png,twenty one,seventeen six,4,1
16,thirty five,32.png,seventeen seventeen,15,33.png,three hundred five,seventeen seventeen fifty,20,1
17,forty seven,34.png,seventeen seventeen,12,35.png,four hundred seventy,seventeen seventeen six,16,1
18,nineteen,36.png,seventeen,4,37.png,one hundred nine,seventeen seventeen six,16,1
19,sixteen,38.png,seventeen,4,39.png,one hundred six,seventeen seventeen two,18,1
20,fifty three,40.png,seventeen seventeen,15,41.png,eighty,seventeen,9,0
21,two hundred sixteen,42.png,seventeen seventeen six,17,43.png,two hundred sixty one,seventeen seventeen six six,19,1
22,four hundred twelve,44.png,seventeen seventeen seventeen,23,45.png,four hundred twenty one,seventeen seventeen six six,23,0
23,six,46.png,seventeen,8,47.png,thirteen,seventeen,8,0
